interpret_hlavni,id,stazeno,nazev_wiki,popis_en,popis_cs,velikost,zanry,datum_narozeni,datum_umrti,zacatek_pusobeni,konec_pusobeni,zalozeni,zanik,gender,misto_puvodu,zeme_puvodu,obcanstvi,etnicita,hlas,nastroje,oceneni,nabozenstvi,orientace,spotify_id,spotify_odberatele
Clou,Q3508418,True,Clou,Czech rock band,hudební skupina,rocková hudební skupina,['alternativní rock'],,,2001,2014,,,,,,,,,,,,,,
Cnco,Q26270552,True,CNCO,Latin American musical group,,hudební skupina,['Latin pop'],,,2015,,,,,Miami,Spojené státy americké,,,,,,,,0eecdvMrqBftK0M1VKhaF4,
Cobra Starship,Q524822,True,Cobra Starship,American band,americká hudební skupina,hudební skupina,['pop punk'],,,2005,,2003,,,New York,Spojené státy americké,,,,,,,,2aYJ5LAta2ScCdfLhKgZOY,
Cocoman,Q95182331,True,Cocoman,,"Narozen 1. 10. 1987. Zpěvák, producent a písničkář, zaměřen na reggae.",člověk,,1987,,,,,,muž,,Česko,,,,,,,,,
Cocotte Minute,Q11773587,True,Cocotte Minute,,česká hudební skupina,hudební skupina,['nu metal'],,,,,,,,,Česko,,,,,,,,,
Code Red,Q1105649,True,Code Red,a computer worm,,software,,,,,,,,,,Česko,,,,,,,,,
Colbie Caillat,Q228860,True,Colbie Caillat,American singer-songwriter,americká zpěvačka,člověk,"['pop rock', 'country']",1985,,2007,,,,žena,Malibu,Spojené státy americké,['Spojené státy americké'],,,"['kytara', 'klavír', 'hlas']",,,,6aZyMrc4doVtZyKNilOmwu,
Coldplay,Q45188,True,Coldplay,British rock band,britská kapela,hudební skupina,"['alternativní rock', 'pop rock', 'pop music', 'alternative pop', 'soft rock', 'Post-Britpop']",,,1997,,1997,,,Londýn,Spojené království,,,,,,,,4gzpq5DPGxSnKTe4SA8HAU,
Conan Gray,Q65214814,True,Conan Gray,American singer-songwriter,americký zpěvák a osobnost sociálních médií,člověk,['elektropop'],1998,,2017,,,,muž,Lemon Grove,Spojené státy americké,['Spojené státy americké'],,,"['kytara', 'hlas', 'klavír', 'ukulele']",,,,4Uc8Dsxct0oMqx0P6i60ea,
Coolio,Q310357,True,Coolio,American rapper and actor (1963–2022),americký rapper a herec,člověk,"['West Coast rap', 'pop rap', 'G-Funk', 'Gangsta rap']",1963,2022,1987,2022,,,muž,Monessen,Spojené státy americké,['Spojené státy americké'],,,['hlas'],['Grammy Award for Best Rap Solo Performance'],,,3y24n3XhZ96wgwRXjvS17T,
Corina,Q18177251,True,Corina,female given name,ženské křestní jméno,ženské rodné jméno,,,,,,,,,,Česko,,,,,,,,,
Corinne Bailey Rae,Q231472,True,Corinne Bailey Rae,British singer and songwriter,britská zpěvačka a kytaristka,člověk,"['soul', 'rhythm and blues', 'pop music', 'contemporary R&B']",1979,,2003,,,,žena,Leeds,Spojené království,['Spojené království'],,,"['kytara', 'hlas']",['čestný doktor Univerzity v Leedsu'],,,29WzbAQtDnBJF09es0uddn,
Corpse,Q48422,True,cadaver,dead human body,mrtvé tělo,hudební skupina,"['heavy metal', 'thrash metal']",,,,,2010,,,Lasarte-Oria,Španělsko,,,,,,,,,
Corrs,Q5173038,True,Corrs Chambers Westgarth,Australian commercial law firm,,advokátní kancelář,,,,,,1841,,,,Česko,,,,,,,,,
Craig David,Q154222,True,Craig David,British singer (born 1981),anglický zpěvák,člověk,"['rhythm and blues', 'pop music', 'soul']",1981,,1999,,,,muž,Southampton,Spojené království,['Anglie'],,,['hlas'],['MOBO Awards'],,,2JyWXPbkqI5ZJa3gwqVa0c,
Cruz Taio,Q313370,True,Taio Cruz,British singer and songwriter,britský zpěvák,člověk,"['contemporary R&B', 'pop music', 'hip hop', 'taneční hudba']",1980,,2002,,,,muž,Brent,Spojené království,['Spojené království'],,['tenor'],['hlas'],,,,6MF9fzBmfXghAz953czmBC,
Cypress Hill,Q322196,True,Cypress Hill,American hip hop group,hudební skupina,hudební skupina,"['West Coast rap', 'hardcore hip hop']",,,1988,,1986,,,Los Angeles,Spojené státy americké,,,,,['Hvězda na Hollywoodském chodníku slávy'],,,4P0dddbxPil35MNN9G2MEX,
Czech It,Q63365318,True,,,,hudební skupina,['pop rock'],,,,,2011,,,Týnec nad Sázavou,Česko,,,,,,,,,
D.H.T.,Q1755076,True,DHT,Belgian eurodance band,,hudební duo,['elektronická taneční hudba'],,,2002,,,,,,,,,,,,,,7lVtH5UmhLGyfN9iS2FFk7,
D.Y.K.,Q11925857,True,Vojtěch Dyk,Czech actor,český herec a zpěvák,člověk,,1985,,,,,,muž,Praha,Česko,"['Česko', 'Československo']",,,,"['Cena Anděl Sólový interpret roku', 'TýTý 2010']",,,,
D4Vd,Q114498066,True,d4vd,American singer,,člověk,,2005,,2021,,,,muž,Houston,Spojené státy americké,['Spojené státy americké'],,,,,,,,
Dababy,Q62107457,True,DaBaby,American rapper from North Carolina,,člověk,"['hip hop', 'trap']",1991,,2014,,,,muž,Cleveland,Spojené státy americké,['Spojené státy americké'],,,['hlas'],,,,4r63FhuTkUYltbVAg5TQnk,
Daddy Yankee,Q272591,True,Daddy Yankee,Puerto Rican rapper and singer,hudebník,člověk,"['Latin trap', 'reggaeton']",1977,,1990,2022,,,muž,San Juan,Spojené státy americké,['Spojené státy americké'],,,['hlas'],"['Cena Latin Grammy za nahrávku roku', 'Cena Latin Grammy za píseň roku', 'Latin Grammy Award for Best Urban Fusion/Performance', 'Latin Grammy Award for Best Urban Song', 'Latin Grammy Award for Best Urban Music Album', 'Billboard Latin Music Hall of Fame', 'Billboard Spirit of Hope Award']",,,4VMYDCV2IEDYJArk749S6m,
Daft Punk,Q185828,True,Daft Punk,French electronic music band,hudební skupina,electronica duo,"['house music', 'elektronická hudba', 'French house', 'synthpop', 'synth rock', 'electronica', 'nu-disco', 'taneční hudba', 'leftfield house']",,,1993,2021,1993,+2021-00-00T00:00:00Z,,Paříž,Francie,,,,['Roland TB-303'],"['Grammy Award for Best Pop Duo/Group Performance', 'Grammy Award for Best Dance/Electronic Album', 'Cena Grammy za album roku']",,,4tZwfgrHOc3mvqYlEYSvVi,
Dagny,Q1418583,True,Dagny,"commune in Seine-et-Marne, France",obec v departementu Seine-et-Marne ve Francii,obec ve Francii,,,,,,,,,,Česko,,,,,,,,,
Dalibor Janda,Q836436,True,Dalibor Janda,"Czech composer, lyricist and singer (*1953)","český zpěvák, textař a hudební skladatel (*1953)",člověk,"['pop music', 'rock']",1953,,1985,,,,muž,Hranice IV-Drahotuše,Česko,['Česko'],,,['hlas'],,,,,
Damiens,Q11774142,True,Damiens,Czech band,hudební skupina,hudební skupina,['rock'],,,,,1997,,,,Česko,,,,,,,,,
Dan + Shay,Q16959408,True,Dan + Shay,American country music duo,,hudební skupina,['country'],,,2012,,2012,,,Nashville,Spojené státy americké,,,,,,,,7z5WFjZAIYejWy0NI5lv4T,
Dan Bárta,Q11774157,True,Dan Bárta,Czech singer,český zpěvák a amatérský fotograf,člověk,['jazz'],1969,,1990,,,,muž,Karlovy Vary,Česko,['Česko'],,,['hlas'],"['Cena Anděl Sólový interpret roku', 'Cena Anděl Sólový interpret roku', 'Cena Anděl Sólový interpret roku', 'Cena Anděl Sólový interpret roku', 'Cena Anděl Sólový interpret roku', 'Cena Anděl Sólový interpret roku', 'Cena Anděl Sólový interpret roku', 'Cena Anděl Sólový interpret roku', 'Cena Anděl Sólový interpret roku', 'Cena Anděl Sólový interpret roku']",,,,
Dance Nation,Q3013343,True,Dance Nation,British record label,,hudební vydavatelství,,,,,,2007,,,,Česko,,,,,,,,,
Daniel Landa,Q159250,True,Daniel Landa,"Czech car racer, actor, composer, rally driver and singer","český zpěvák a skladatel, herec a automobilový závodník",člověk,['rock'],1968,,1987,,,,muž,Praha,Česko,['Česko'],,,['hlas'],['Zlatý David'],,,,
Daniel Powter,Q313698,True,Daniel Powter,Canadian musician and singer,,člověk,"['piano rock', 'pop music']",1971,,1997,,,,muž,Vernon,Kanada,['Kanada'],,['tenor'],"['klavír', 'hlas', 'kytara']",['Cena Juno pro skokana roku'],,,7xTcuBOIAAIGDOSvwYFPzk,
Dara Rolins,Q3502562,True,Dara Rolins,Slovak recording artist and entrepreneur,slovenská zpěvačka,člověk,['teen pop'],1972,,1982,,,,žena,Bratislava,Slovensko,"['Československo', 'Slovensko']",,,['hlas'],,,,6Tv7lGZFGzalpRGE3aonac,
Dave,Q16275316,True,Dave,male given name,mužské křestní jméno,mužské rodné jméno,,,,,,,,,,Česko,,,,,,,,,
David Bowie,Q5383,True,David Bowie,English musician and actor (1947–2016),"britský zpěvák, herec, hudební skladatel",člověk,"['pop music', 'rock', 'glam rock', 'psychedelický rock', 'experimentální rock', 'art rock', 'hard rock', 'pop rock', 'psychedelický pop', 'alternativní rock', 'soul', 'nová vlna', 'ambientní hudba', 'avantgardní jazz', 'art pop', 'rap', 'elektronická hudba', 'bílý soul']",1947,2016,1964,,,,muž,Brixton,Spojené království,['Spojené království'],,['baryton'],"['saxofon', 'kytara', 'klavír', 'hlas', 'klávesový nástroj', 'ARP 2500', 'klaviatura', 'bicí souprava']","['Rock and Roll Hall of Fame', 'Cena Grammy za celoživotní dílo', 'Webby Lifetime Achievement Award', 'Síň slávy Grammy', 'Cena Saturn pro nejlepšího herce', 'Rolling Stone – 100 největších umělců všech dob', '100 největších Britů', 'komandér Řádu britského impéria', 'Science Fiction and Fantasy Hall of Fame', 'komandér  Řádu umění a literatury', 'Hvězda na Hollywoodském chodníku slávy', 'honorary doctor of the Berklee College of Music', 'Řád umění a literatury']",,['bisexualita'],0oSGxfWSnnOXhD2fKuz2Gy,
David Deyl,Q5621211,True,David Deyl,Czech singer,český zpěvák,člověk,['populární hudba'],1983,,2009,,,,muž,Ústí nad Labem,Česko,['Česko'],,,"['hlas', 'klavír']",,,,45wXr8PmzHILTywJbDGdXE,
David Guetta,Q8298,True,David Guetta,French DJ and record producer,francouzský DJ,člověk,"['French house', 'elektronická taneční hudba', 'progressive house', 'electro house', 'elektropop', 'dance-pop', 'hip hop', 'techno', 'future rave']",1967,,1986,,,,muž,Paříž,Francie,['Francie'],,,"['syntezátor', 'klávesový nástroj', 'klavír', 'digital audio workstation']","['rytíř Řádu umění a literatury', 'Grammy Award for Best Remixed Recording, Non-Classical', 'Grammy Award for Best Remixed Recording, Non-Classical', 'MTV Europe Music Award za nejlepší elektroniku', 'MTV Europe Music Award za nejlepší elektroniku']",,,1Cs0zKBU1kc0i8ypK3B9ai,
David Koller,Q11774361,True,David Koller,Czech musician,český hudebník,člověk,['alternativní rock'],1960,,1980,,,,muž,Praha,Česko,['Česko'],,,"['kytara', 'hlas']","['Cena Anděl Sólový interpret roku', 'Cena Anděl Sólový interpret roku']",,,,
David Kushner,Q725765,True,Dave Kushner,American guitarist,americký kytarista,člověk,['hard rock'],1966,,1988,,,,muž,Los Angeles,Spojené státy americké,['Spojené státy americké'],,,['kytara'],,,,,
David Michal,Q3506625,True,Michal David,Czech composer and singer,český hudební skladatel a zpěvák,člověk,['jazz'],1960,,1976,,,,muž,Praha,Česko,"['Česko', 'Československo']",,,['hlas'],,,,,
David Ross,Q1364954,True,William David Ross,Scottish philosopher and translator,,člověk,,1877,1971,,,,,muž,Thurso,Spojené království,['Spojené království'],,,,"['rytíř komandér Řádu britského impéria', 'Společník Britské akademie']",,,,
David Stypka,Q26677234,True,David Stypka,Czech singer (1979-2021),český zpěvák (1979-2021),člověk,"['jazz rock', 'pop rock']",1979,2021,1995,,,,muž,Dobrá,Česko,['Česko'],,,"['hlas', 'kytara']","['Cena Anděl Sólový interpret roku', 'Cena Anděl Sólový interpret roku']",,,,
Dawin,Q22270660,True,Dawin,"American singer, songwriter and record producer",,člověk,"['elektronická taneční hudba', 'dance-pop']",1990,,2014,,,,muž,Brooklyn,Spojené státy americké,['Spojené státy americké'],,,,,,,46GXASE9LHzyssNqKOInUu,
Daya,Q21005558,True,Daya,American singer,americká zpěvačka,člověk,['pop music'],1998,,2015,,,,žena,Pittsburgh,Spojené státy americké,['Spojené státy americké'],,,"['hlas', 'kytara', 'ukulele', 'klavír', 'zobcová flétna', 'saxofon']",,,['bisexualita'],6Dd3NScHWwnW6obMFbl1BH,
Dead By Sunrise,Q627617,True,Dead by Sunrise,American rock band,,hudební skupina,"['alternativní rock', 'post-grunge', 'hard rock', 'synth rock']",,,2005,,2005,,,Kalifornie,Spojené státy americké,,,,,,,,,
Dead Can Dance,Q324400,True,Dead Can Dance,British-Australian neoclassical darkwave band around the duo Lisa Gerrard and Brendan Perry,australská hudební skupina,hudební skupina,"['ethereal wave', 'neoclassical dark wave', 'world music']",,,1981,,1981,,,Melbourne,Austrálie,,,,,,,,6sq7prp0tj9Abn89khmfja,
Dean Lewis,Q29905254,True,Dean Lewis,Australian singer-songwriter,,člověk,['pop music'],1987,,2016,,,,muž,Sydney,Austrálie,['Austrálie'],,,,,,,3QSQFmccmX81fWCUSPTS7y,
Dean Martin,Q215359,True,Dean Martin,"American singer, actor, comedian and film producer (1917-1995)",latinskoamerický herec a zpěvák (1917-1995),člověk,"['pop music', 'big band', 'easy listening', 'country', 'jazz', 'tradiční pop']",1917,1995,1940,,,,muž,Steubenville,Spojené státy americké,['Spojené státy americké'],,['baryton'],['hlas'],"['Cena Grammy za celoživotní dílo', 'Hvězda na Hollywoodském chodníku slávy']",['matrikový katolík'],,49e4v89VmlDcFCMyDv9wQ9,
Debbi,Q739328,True,Debbi,German-Czech singer,česká zpěvačka,člověk,['pop music'],1993,,2009,,,,žena,Dortmund,Německo,"['Česko', 'Německo']",,,['hlas'],['Cena Anděl Sólová interpretka roku'],,,,
Decky,Q91078730,True,Decky I Junaedi,researcher (ORCID 0000-0001-5846-6135),,člověk,,,,,,,,,,Česko,,,,,,,,,
Deep Purple,Q101505,True,Deep Purple,English rock band,anglická rocková skupina,rocková hudební skupina,"['hard rock', 'psychedelický rock', 'klasický heavy metal', 'progresivní rock']",,,1968,,1968,,,Hertford,Spojené království,,,,,['Rock and Roll Hall of Fame'],,,568ZhdwyaiCyOGJRtNYhWf,
Deethane,Q69481982,True,DeeThane,Czech streamer,český streamer,člověk,,1993,,,,,,muž,Třebíč,Česko,['Česko'],,,,,,,,
Delano,Q775868,True,Delano,city in California,,město ve Spojených státech amerických,,,,,,1869,,,,Česko,,,,,,,,,
Delerium,Q903496,True,Delerium,Canadian band,hudební skupina,hudební skupina,['elektronická hudba'],,,1987,,1987,,,Vancouver,Kanada,,,,,,,,,
Demi Lovato,Q41173,True,Demi Lovato,American singer and actress,americká herečka a zpěvačka,člověk,"['pop rock', 'pop music', 'contemporary R&B', 'power pop', 'dance-pop', 'teen pop', 'elektropop', 'soul', 'pop punk', 'nu metal']",1992,,2002,,,,genderfluid,Albuquerque,Spojené státy americké,['Spojené státy americké'],,['soprán'],"['hlas', 'kytara', 'klavír', 'bicí souprava']","['GLAAD Vanguard Award', 'Time 100']",,"['pansexualita', 'fluidní sexualita']",6S2OmqARrzebs0tKUEyXyp,
Dennis Lloyd,Q51033104,True,Dennis Lloyd,Israeli singer-songwriter,,člověk,,1993,,2015,,,,muž,Tel Aviv,Izrael,['Izrael'],,,"['trubka', 'kytara', 'hlas']",,,,3EOEK57CV77D4ovYVcmiyt,
Deorro,Q15921342,True,Deorro,American DJ and music producer,,člověk,"['electro house', 'trap', 'progressive house', 'Dutch house']",1991,,2005,,,,muž,Los Angeles,Spojené státy americké,['Spojené státy americké'],,,['klávesový nástroj'],,,,6VD4UEUPvtsemqD3mmTqCR,
Depeche Mode,Q482964,True,Depeche Mode,British band,anglická hudební skupina,hudební skupina,"['synthpop', 'electronica', 'nová vlna', 'dark wave', 'alternativní rock', 'industriální hudba', 'synth rock', 'industriální rock']",,,1980,,1980,,,Basildon,Spojené království,,,,,,,,762310PdDnwsDxAQxzQkfX,
Dermot Kennedy,Q61983346,True,Dermot Kennedy,Irish singer-songwriter,irský zpěvák a skladatel,člověk,,1991,,2015,,,,muž,Rathcoole,Irsko,['Irsko'],,,,,,,5KNNVgR6LBIABRIomyCwKJ,
Desiigner,Q23091498,True,Desiigner,American rapper,,člověk,"['hip hop', 'trap', 'East Coast hip hop', 'SoundCloud rap', 'hardcore hip hop', 'Gangsta rap', 'industrial hip hop', 'punk rap', 'alternativní hip-hop', 'Horrorcore']",1997,,2015,,,,muž,Brooklyn,Spojené státy americké,['Spojené státy americké'],,,"['buben', 'hlas']",,,,,
Desmod,Q2218009,True,Desmod,Slovak pop-rock band,hudební skupina,hudební skupina,['rock'],,,1996,,1996,,,,,,,,,,,,,
Dev,Q5482740,True,programmer,person who writes computer software (subclass of software developer),osoba píšící počítačové programy,povolání,,,,,,,,,,Česko,,,,,,,,,
Diana Krall,Q155879,True,Diana Krall,Canadian recording artist; jazz singer and pianist,kanadská jazzová zpěvačka a pianistka,člověk,"['jazz', 'smooth jazz']",1964,,1993,,,,žena,Nanaimo,Kanada,['Kanada'],,['alt'],"['klavír', 'hlas', 'klaviatura']","['důstojník Řádu Kanady', 'Kanadský chodník slávy', 'Order of British Columbia']",,,5z1VAFwT35EVvCp1XlZZuL,
Diddy,Q216936,True,Sean Combs,"American rapper, singer, songwriter, record producer, actor and entrepreneur","americký rapper, tanečník a herec",člověk,"['hip hop', 'contemporary R&B', 'East Coast hip hop', 'pop rap', 'pop music']",1969,,1990,,,,muž,Harlem,Spojené státy americké,['Spojené státy americké'],['Afroameričané'],,['hlas'],"['Cena Grammy za nejlepší rapové vystoupení dua nebo skupiny', 'NAACP Image Award for Outstanding Actor in a Television Movie, Mini-Series or Dramatic Special', 'BET Award for Video of the Year', ""BET Award for Viewer's Choice"", 'Grammy Award for Best Rap Album', 'BET Award for Best Group', 'Cena Grammy za nejlepší rapové vystoupení dua nebo skupiny', 'Hvězda na Hollywoodském chodníku slávy']",,,59wfkuBoNyhDMQGCljbUbA,
Dido,Q202550,True,Dido,English singer and songwriter (born 1971),britská zpěvačka,člověk,"['pop music', 'pop rock', 'folk']",1971,,1995,,,,žena,Kensington,Spojené království,['Spojené království'],,"['alt', 'mezzosoprán']","['kytara', 'klavír', 'tamburína', 'hlas', 'bicí nástroje', 'zobcová flétna', 'klaviatura']",,,,2mpeljBig2IXLXRAFO9AAs,
Digital Farm Animals,Q24894854,True,Digital Farm Animals,"British songwriter, music producer and DJ",,člověk,,1989,,2013,,,,muž,Stanmore,Spojené království,['Spojené království'],,,,,,,5fyDppLDl1juIu1BcUT5zh,
Dillon Francis,Q5276931,True,Dillon Francis,American DJ and music producer,,člověk,,1987,,2010,,,,muž,Los Angeles,Spojené státy americké,['Spojené státy americké'],,,['klávesy'],,,,5R3Hr2cnCCjt220Jmt2xLf,
Dimitri Vegas,Q12308641,True,Dimitri Vegas,Belgian DJ and record producer,,člověk,,1982,,,,,,muž,,,['Belgie'],,,,,,,2HkAI0YrEcgoR8QdaURqhO,
Diplo,Q533781,True,Diplo,American DJ and music producer,,člověk,"['elektronická hudba', 'elektronická taneční hudba', 'dancehall', 'hip hop', 'trap', 'Moombahton', 'electro house', 'pop music']",1978,,1997,,,,muž,Tupelo,Spojené státy americké,['Spojené státy americké'],,,"['basová kytara', 'klávesový nástroj', 'klavír', 'syntezátor', 'hlas']","['Cena Grammy za nejlepší taneční nahrávku', 'Grammy Award for Best Dance/Electronic Album', 'Cena Grammy za nejlepší taneční nahrávku']",,,5fMUXHkw8R8eOP2RNVYEZX,
Dirty Heads,Q2410892,True,The Dirty Heads,American reggae rock band,,hudební skupina,"['alternativní hip-hop', 'ska', 'acoustic rock', 'reggae fusion', 'Reggae rock']",,,2006,,1996,,,Orange County,Spojené státy americké,,,,,,,,6GkJh85o22LfD2vgL9DP6f,
Disciples,Q1541206,True,Christian Church (Disciples of Christ),Restorationist Mainline Protestant denomination in the United States and Canada,,denominace,,,,,,1968,,,Kansas City,Spojené státy americké,,,,,,,,,
Disclosure,Q1228440,True,Disclosure,English electronic music duo,,hudební duo,"['house music', 'future garage', 'deep house', 'UK Garage']",1994,,2010,,2010,,,Reigate,Spojené království,,,,,['International Dance Music Awards'],,,6nS5roXSAGhTGr34W6n7Et,
Disco Boys,Q2410895,True,The Disco Boys,German DJ duo,,hudební duo,['house music'],,,2001,,,,,Hamburk,Německo,,,,,,,,0suokA0Exjok9HBfB0Oc3X,
Discoboys,Q2410895,True,The Disco Boys,German DJ duo,,hudební duo,['house music'],,,2001,,,,,Hamburk,Německo,,,,,,,,0suokA0Exjok9HBfB0Oc3X,
Disturbed,Q131366,True,Disturbed,American heavy metal band,hudební skupina,hudební skupina,"['rock', 'alternativní metal', 'nu metal', 'heavy metal', 'hard rock']",,,1996,,1994,,,Chicago,Spojené státy americké,,,,,,,,3TOqt5oJwL9BE2NG9MEwDa,
Divokej Bill,Q2599880,True,Divokej Bill,Czech folk rock band,česká hudební skupina,hudební skupina,,,,1998,,,,,,Česko,,,,,,,,,
Dj Antoine,Q667014,True,DJ Antoine,Swiss record producer and DJ,,člověk,['electro house'],1975,,1998,,,,muž,Sissach,Švýcarsko,['Švýcarsko'],,,,['Swiss Music Awards'],['katolická církev'],,6yTYR09WCvsgdnurDW4WQo,
Dj Bobo,Q192108,True,DJ BoBo,"Swiss singer, rapper and dancer","vlastním jménem Peter René Baumann, švýcarský DJ, popový hudebník, zpěvák a tanečník",člověk,['pop music'],1968,,1989,,,,muž,Kölliken,Švýcarsko,['Švýcarsko'],,,['hlas'],['Swiss Music Awards'],,,,
Dj Cassidy,Q16202297,True,DJ Cassidy,American DJ and record producer,,člověk,,1981,,,,,,muž,New York,Spojené státy americké,['Spojené státy americké'],,,,,,,1xLOb1CC0N70wA28T7Q5uE,
Dj Envy,Q5205307,True,DJ Envy,American disc jockey,,člověk,"['hip hop', 'rhythm and blues']",1977,,1994,,,,muž,Queens Village,Spojené státy americké,['Spojené státy americké'],,,['hlas'],,,,,
Dj Fresh,Q941738,True,DJ Fresh,English DJ and record producer,,člověk,['drum and bass'],1977,,1996,,,,muž,Londýn,Spojené království,['Spojené království'],,,['syntezátor'],,,,6r20qOqY7qDWI0PPTxVMlC,
Dj Gollum,Q1154096,True,DJ Gollum,German disc jockey,,člověk,,2000,,,,,,muž,,Česko,['Německo'],,,,,,,1wNmJCRRNn8WpJrRSTKKqT,
Dj Khaled,Q80805,True,DJ Khaled,American DJ and music producer,,člověk,['hip hop'],1975,,1998,,,,muž,New Orleans,Spojené státy americké,['Spojené státy americké'],"['Arabové', 'arabští Američané']",,,,['islám'],,0QHgL1lAIqAw0HtD7YldmP,
Dj Ross,Q280939,True,DJ Ross,Italian disc jockey,,člověk,['elektronická taneční hudba'],1973,,,,,,muž,Mariano Comense,Itálie,['Itálie'],,,,,,,70yj8eIE94z38CM2kfsXQL,
Dj Scotty,Q1154255,True,DJ Scotty,German disc jockey,,člověk,,2000,,,,,,muž,,Česko,['Německo'],,,,,,,,
Dj Snake,Q16728588,True,DJ Snake,French DJ and record producer,,člověk,"['EDM trap music', 'electro house', 'Moombahton', 'hip hop', 'rap']",1986,,2009,,,,muž,Paříž,Francie,"['Francie', 'Alžírsko']",,,,"['MTV Video Music Award for Best Direction', 'Billboard Music Award for Top Dance/Electronic Song', 'NRJ DJ Awards', 'NRJ DJ Awards', 'NRJ DJ Awards', 'NRJ Music Awards', 'NRJ Music Awards', 'NRJ DJ Awards', 'NRJ Music Awards']",,,540vIaP2JwjQb9dm3aArA4,
Dj Tiesto,Q183508,True,Tiësto,Dutch DJ and record producer,nizozemský DJ a producent,člověk,"['trance', 'elektronická taneční hudba', 'electro house', 'progressive house', 'future house', 'deep house', 'electronica', 'hardcore techno']",1969,,1994,,,,muž,Breda,Nizozemsko,['Nizozemské království'],,,"['digital audio workstation', 'klávesový nástroj', 'syntezátor']","['Gouden Harp', 'Zilveren Harp', 'MTV Europe Music Award for Best Dutch Act', 'Popprijs', 'důstojník Oranžsko-nasavského řádu', 'Grammy Award', 'honorary citizen of North-Brabant']",,,2o5jDhtHVPhrJdv3cEQ99Z,
Dj Wich,Q5205502,True,DJ Wich,Czech disk jockey,český diskžokej,člověk,,1978,,,,,,muž,Praha,Česko,['Česko'],,,,,,,,
Djane Housekat,Q106352,True,DJane HouseKat,"Danish singer, songwriter, DJ, music producer","Dánský zpěvák, skladatel, DJ, hudební producent",člověk,['pop music'],1987,,2010,,,,žena,,,['Německo'],,,['hlas'],,,,,
Dmx,Q223769,True,DMX,American rapper and actor (1970–2021),americký rapper a herec,člověk,"['hip hop', 'East Coast hip hop', 'Gangsta rap', 'hardcore hip hop', 'Horrorcore', 'Christian hip hop', 'mafioso rap']",1970,2021,1991,2021,,,muž,Mount Vernon,Spojené státy americké,['Spojené státy americké'],,,['hlas'],,,,1HwM5zlC5qNWhJtM00yXzG,
Dnce,Q21648421,True,DNCE,American pop band,,hudební skupina,['pop rock'],,,2015,,2015,,,San Francisco,Spojené státy americké,,,,,,,,6T5tfhQCknKG4UnH90qGnz,
Doctor P.P.,Q11813331,True,Doctor P.P.,,česká rocková skupina,hudební skupina,['rock'],,,,,,,,,Česko,,,,,,,,,
Doga,Q60600348,True,Doga,Czech music band,česká hudební skupina,hudební skupina,,,,,,,,,,Česko,,,,,,,,,
Doja Cat,Q51120673,True,Doja Cat,"American rapper, singer-songwriter, and record producer (born 1995)",americká zpěvačka a rapperka,člověk,"['contemporary R&B', 'hip hop', 'pop music', 'pop rap', 'indie pop', 'alternativní R&B', 'trap', 'alternativní hip-hop', 'pop punk']",1995,,2012,,,,žena,Tarzana,Spojené státy americké,['Spojené státy americké'],,,['hlas'],"['American Music Award for New Artist of the Year', 'American Music Award', 'American Music Award for Collaboration of the Year', 'American Music Award', 'American Music Award for Favorite Soul/R&B Album', 'Grammy Award for Best Pop Duo/Group Performance', 'MTV Europe Music Award pro nejlepšího nováčka', 'MTV Europe Music Award for Best Collaboration', 'Cena MTV Video Music za nejlepšího nového umělce', 'MTV Video Music Award for Best Collaboration']",,,5cj0lLjcoR7YOSnhnX0Po5,
Dominic Fike,Q61906153,True,Dominic Fike,American singer-songwriter and actor,,člověk,"['alternativní hip-hop', 'indie pop', 'rap rock', 'alternativní R&B']",1995,,2017,,,,muž,Naples,Spojené státy americké,['Spojené státy americké'],,,"['hlas', 'kytara', 'bicí souprava', 'klávesový nástroj']",,,,6USv9qhCn6zfxlBQIYJ9qs,
Dommi,Q110157843,True,We Are Domi,Czech-Norwegian electropop band,česko-norské elektropopové trio,hudební skupina,"['elektropop', 'Scandinavian pop']",,,2018,,2016,,,Leeds College of Music,Spojené království,,,,,,,,68nZwIknhC5s9gLHPly09S,
Don Diablo,Q2464558,True,Don Diablo,Dutch DJ and record producer,DJ a hudební producent,člověk,['electro'],1980,,1997,,,,muž,Coevorden,Nizozemsko,['Nizozemské království'],,,['hlas'],,,,1l2ekx5skC4gJH8djERwh1,
Don Omar,Q310539,True,Don Omar,Puerto Rican singer,"portorický zpěvák, rapper a herec",člověk,['reggaeton'],1978,,1996,,,,muž,Villa Palmeras,Spojené státy americké,['Spojené státy americké'],,['baryton'],['hlas'],"['Latin Grammy Award for Best Urban Music Album', 'Latin Grammy Award for Best Urban Song']",,,33ScadVnbm2X8kkUqOkC6Z,
Don Toliver,Q56513383,True,Don Toliver,American rapper and singer from Texas (born 1994),,člověk,"['hip hop', 'trap', 'contemporary R&B']",1994,,2017,,,,muž,Houston,Spojené státy americké,['Spojené státy americké'],,,['hlas'],,,,4Gso3d4CscCijv0lmajZWs,
Dony,Q7075271,True,Obolo people,ethnic group in southeastern Nigeria,,etnikum,,,,,,,,,,,,,,,,,,,
