interpret_hlavni,id,stazeno,nazev_wiki,popis_en,popis_cs,velikost,zanry,datum_narozeni,datum_umrti,zacatek_pusobeni,konec_pusobeni,zalozeni,zanik,gender,misto_puvodu,zeme_puvodu,obcanstvi,etnicita,hlas,nastroje,oceneni,nabozenstvi,orientace,spotify_id,spotify_odberatele
Michal Tučný,Q538916,True,Michal Tučný,Czech guitarist and singer,český kytarista a zpěvák,člověk,['country'],+1947-01-11T00:00:00Z,+1995-03-10T00:00:00Z,,,,,muž,Praha,Česko,['Česko'],,,"['klavír', 'hlas']",,,,,
Sza,Q16210722,True,SZA,American singer,americká zpěvačka a skladatelka,člověk,"['soul', 'rhythm and blues']",+1989-11-08T00:00:00Z,,+2012-00-00T00:00:00Z,,,,žena,St. Louis,Spojené státy americké,['Spojené státy americké'],,,['hlas'],,['islám'],,7tYKF4w9nC0nq9CsPZTHyP,
Michal Prokop,Q12036790,True,Michal Prokop,"Czech guitarist, presenter and singer; member of Czech Parliament (1996–1998)","český poslanec (1996–1998), politik, kytarista, moderátor a zpěvák",člověk,,+1946-08-13T00:00:00Z,,,,,,muž,Praha,Česko,['Česko'],,,,,,,4humgNNlfbHHZ7nySORCeO,
Spirituál Kvintet,Q3564752,True,Spirituál kvintet,Czech folk band,česká hudební skupina,hudební skupina,,,,,,+1960-00-00T00:00:00Z,,,Československo,Československo,,,,,['Stříbrná medaile předsedy Senátu'],,,,
Schyzo,Q50981751,True,Schyzo,Czech rapper,český rapper,člověk,,+1993-01-01T00:00:00Z,,,,,,muž,Praha,Česko,['Česko'],,,['hlas'],,,,,
Michael Foret,Q12036625,True,Michael Foret,Czech singer,český zpěvák,člověk,,+1986-09-20T00:00:00Z,,,,,,muž,Prostějov,Česko,,,,['hlas'],,,,,
Nena,Q153996,True,Nena,German singer and actress,německá zpěvačka,člověk,"['pop music', 'synthpop', 'nová vlna', 'punk rock', 'Neue Deutsche Welle', 'pop rock']",+1960-03-24T00:00:00Z,,+1978-00-00T00:00:00Z,,,,žena,Hagen,Německo,['Německo'],,,['hlas'],,,,6Tz0QRoe083BcOo2YbG9lV,
Metro Boomin,Q16235273,True,Metro Boomin,"American record producer, DJ, and record executive",americký hudební producent a DJ,člověk,['hip hop'],+1993-09-16T00:00:00Z,,+2009-00-00T00:00:00Z,,,,muž,St. Louis,Spojené státy americké,['Spojené státy americké'],,,"['klávesový nástroj', 'hlas']",,,,0iEtIxbK0KxaSlF7G42ZOp,
Tatu,Q161723,True,t.A.T.u.,Russian music duo,,hudební duo,"['dance-pop', 'pop music', 'Europop', 'elektronická hudba', 'pop rock']",,,+1999-00-00T00:00:00Z,,+1999-00-00T00:00:00Z,,,Moskva,Moskevské knížectví,,,,,,,,7902s7cvHtLQV3K7875DAz,
Santana,Q873384,True,Santana,American band led by Carlos Santana,hudební skupina,rocková hudební skupina,"['latinskoamerická hudba', 'Latin rock']",,,+1967-00-00T00:00:00Z,,+1967-01-01T00:00:00Z,,,San Francisco,Spojené státy americké,,,,,"['Cena Grammy za album roku', 'Cena Grammy za nahrávku roku', 'Grammy Award for Best Pop Performance by a Duo or Group with Vocals', 'Cena Latin Grammy za nahrávku roku']",,,6GI52t8N5F02MxU0g5U69P,
Nessa Barrett,Q107413717,True,Nessa Barrett,American singer,,člověk,['alternative pop'],+2002-08-06T00:00:00Z,,+2019-00-00T00:00:00Z,,,,žena,New Jersey,Spojené státy americké,['Spojené státy americké'],,,,,,,7pwufEBGfggjoI8twqlsmQ,
Starley,Q28054068,True,Starley,Australian singer,,člověk,,+1987-10-03T00:00:00Z,,+2016-00-00T00:00:00Z,,,,žena,Sydney,Austrálie,['Austrálie'],,,['hlas'],,,,02A3cEvlLLCbIMVDrK2GHV,
Spice Girls,Q55641,True,Spice Girls,British girl group,britská hudební skupina,dívčí skupina,"['pop music', 'dívčí skupina', 'dance-pop', 'teen pop', 'Europop']",,,+1994-00-00T00:00:00Z,,+1994-00-00T00:00:00Z,,,Londýn,Římská říše,,,,,,,,0uq5PttqEjj3IH1bzwcrXF,
Monika Bagárová,Q62081535,True,Monika Bagárová,Czech Romani singer,česká zpěvačka,člověk,,+1994-07-05T00:00:00Z,,+2009-00-00T00:00:00Z,,,,žena,Brno,Česko,['Česko'],['Romové'],,,,,,,
Shawn Hook,Q18357706,True,Shawn Hook,"Canadian singer, songwriter, producer",,člověk,,+1984-09-05T00:00:00Z,,+2004-00-00T00:00:00Z,,,,muž,Castlegar,Kanada,['Kanada'],,,['hlas'],['Kanadský chodník slávy'],,,7blkMNJv8n9ceP9zlA4W2U,
Sharkass,Q21685625,True,Sharkass,Czech rapper,česká rapperka,člověk,,+1995-02-21T00:00:00Z,,,,,,žena,Praha,Česko,['Česko'],,,['hlas'],,,,,
Nayer,Q166444,True,Nayer,American singer,americká zpěvačka,člověk,['pop music'],+1988-08-02T00:00:00Z,,+2002-00-00T00:00:00Z,,,,žena,New Jersey,Spojené státy americké,"['Spojené státy americké', 'Kuba']",,,['hlas'],,,,1ruutHJcECI7cos2n5TqpO,
Slash,Q34166,True,Slash,British-American guitarist,britsko-americký hudebník a skladatel,člověk,"['hard rock', 'klasický heavy metal', 'blues rock', 'glam metal']",+1965-07-23T00:00:00Z,,+1981-00-00T00:00:00Z,,,,muž,Hampstead,Spojené království,"['Spojené království', 'Spojené státy americké']",,,"['kytara', 'basová kytara']",['Hvězda na Hollywoodském chodníku slávy'],,,4Cqia9vrAbm7ANXbJGXsTE,
Mnek,Q6716905,True,MNEK,"English singer, songwriter and record producer",,člověk,['pop music'],+1994-11-09T00:00:00Z,,+2011-00-00T00:00:00Z,,,,muž,Lewisham,Spojené království,['Spojené království'],,,,,,['homosexualita'],7uMh23xWiuR7zsNkuNcm2G,
Snakehips,Q22116844,True,Snakehips,British electronic music band,,hudební skupina,"['elektronická hudba', 'rhythm and blues']",,,+2012-00-00T00:00:00Z,,+2012-01-01T00:00:00Z,,,Spojené království,Spojené království,,,,,,,,2FwJwEswyIUAljqgjNSHgP,
Mňága,Q3490405,True,Mňága a Žďorp,Czech alternative rock band,česká alternativně rocková kapela,hudební skupina,['alternativní rock'],,,+1987-00-00T00:00:00Z,,,,,,,,,,,,,,,
Shaed,Q60643444,True,Shaed,American musical group,,hudební skupina,['elektropop'],,,+2011-00-00T00:00:00Z,,+2011-00-00T00:00:00Z,,,"Washington, D.C.",Spojené státy americké,,,,,,,,3KwmxIhSe9UTSEF37kwngR,
Spankers,Q11312712,True,Spankers,Italian DJ duo,hudební skupina,hudební duo,,,,,,,,,,,,,,,,,,,
Nathan Evans,Q105044427,True,Nathan Evans,Scottish musician,,člověk,,+1994-12-19T00:00:00Z,,+2021-00-00T00:00:00Z,,,,muž,Bellshill,Spojené království,"['Skotsko', 'Spojené království']",,,,,,,1PKErrAhYFdfrDymGHRQRo,
Serebro,Q318882,True,Serebro,Russian pop girl group,ruská hudební skupina,dívčí skupina,"['populární hudba', 'Europop', 'synthpop']",,,+2006-00-00T00:00:00Z,,+2006-01-01T00:00:00Z,,,Moskva,Moskevské knížectví,,,,,['World Music Awards'],,,1Ulwacsns9Me7dz4OVwkiQ,
Roll Deep,Q913194,True,Roll Deep,British hip hop group,,musical collective,"['Grime', 'UK Garage']",,,+2001-00-00T00:00:00Z,,+2002-00-00T00:00:00Z,,,Londýn,Římská říše,,,,,,,,,
Tony Bennett,Q296729,True,Tony Bennett,American singer,americký zpěvák,člověk,"['jazz', 'soul']",+1926-08-03T00:00:00Z,+2023-07-21T00:00:00Z,+1945-00-00T00:00:00Z,+2021-00-00T00:00:00Z,,,muž,Queens,Spojené státy americké,['Spojené státy americké'],,,['hlas'],"['Primetime Emmy Award for Outstanding Variety, Music, or Comedy Special', 'Cena Grammy za celoživotní dílo', 'MusiCares Person of the Year', 'Cena Grammy za nejlepší tradiční popové vokální album', 'Žijící legenda Knihovny Kongresu', 'Vyznamenání Kennedyho centra', 'Gershwinova cena', 'Hvězda na Hollywoodském chodníku slávy', 'NEA Jazz Masters', 'Bronze Medallion', 'Long Island Music Hall of Fame', 'International Civil Rights Walk of Fame', 'New Jersey Hall of Fame', 'Grammy Award for Best Male Pop Vocal Performance', 'Cena Grammy za nahrávku roku', 'Cena Grammy za nejlepší tradiční popové vokální album', 'Cena Grammy za nejlepší tradiční popové vokální album', 'Cena Grammy za album roku', 'Cena Grammy za nejlepší tradiční popové vokální album', 'Cena Grammy za nejlepší tradiční popové vokální album', 'Cena Grammy za nejlepší tradiční popové vokální album', 'Cena Grammy za nejlepší tradiční popové vokální album', 'Cena Grammy za nejlepší tradiční popové vokální album', 'Cena Grammy za nejlepší tradiční popové vokální album', 'Cena Grammy za nejlepší tradiční popové vokální album', 'Cena Grammy za nejlepší tradiční popové vokální album', 'Grammy Award for Best Pop Collaboration with Vocals', 'Cena Grammy za nejlepší tradiční popové vokální album', 'Grammy Award for Best Pop Duo/Group Performance', 'Cena Grammy za nejlepší tradiční popové vokální album', 'Cena Grammy za nejlepší tradiční popové vokální album', 'Primetime Emmy Award for Individual Performance in a Variety or Music Program', 'Primetime Emmy Award for Individual Performance in a Variety or Music Program', 'Bronzová hvězda']",,,2lolQgalUvZDfp5vvVtTYV,
Rosa Linn,Q111193171,True,Rosa Linn,armenisk singer-songwriter,,člověk,"['pop music', 'folk pop']",+2000-05-20T00:00:00Z,,+2013-00-00T00:00:00Z,,,,žena,Vanadzor,Arménie,['Arménie'],,,"['hlas', 'kytara', 'klavír']",,,,46xBNx0j6cwY6sD9LgMTm1,
Oliver Heldens,Q16667903,True,Oliver Heldens,Dutch DJ,Holandský DJ a producent elektronické hudby,člověk,['electro house'],+1995-02-01T00:00:00Z,,+2013-00-00T00:00:00Z,,,,muž,Rotterdam,Nizozemsko,['Nizozemské království'],,,,,,,5nki7yRhxgM509M5ADlN1p,
Nick Cave,Q192668,True,Nick Cave,Australian musician,australský hudebník,člověk,"['rock', 'alternativní rock', 'gothic rock', 'garage rock', 'country', 'blues']",+1957-09-22T00:00:00Z,,+1973-00-00T00:00:00Z,,,,muž,Warracknabeal,Austrálie,['Austrálie'],,['bas'],"['kytara', 'hlas', 'klavír']","['důstojník Řádu Austrálie', 'Ivor Novello Awards', 'APRA Music Awards', 'ARIA Award for Single of the Year', 'ARIA Award for Best Original Soundtrack, Cast or Show Album', 'ARIA Award for Best Male Artist', 'ARIA Award for Best Pop Release', 'ARIA Award for Best Male Artist', 'ARIA Award for Best Independent Release', 'ARIA Award for Best Adult Contemporary Album']",,,1RM5gp0RFfjpJhCYFPB30p,
Maitre Gims,Q3303251,True,Gims,Congolese-French singer-songwriter and rapper,Francouzský rapper a zpěvák narozený v Demokratické republice Kongo. Bývalý člen hip-hopové skupiny Sexion d'Assaut.,člověk,"['hip hop', 'pop rap', 'pop music', 'variety']",+1986-05-06T00:00:00Z,,+2002-00-00T00:00:00Z,,,,muž,Kinshasa,Konžská demokratická republika,['Konžská demokratická republika'],,,['hlas'],,['islám'],,0GOx72r5AAEKRGQFn3xqXK,
Robyn,Q229445,True,Robyn,Swedish singer (born 1979),Švédská zpěvačka,člověk,['pop music'],+1979-06-12T00:00:00Z,,+1989-00-00T00:00:00Z,,,,žena,Maria Magdalena församling,Švédsko,['Švédsko'],,['soprán'],['hlas'],"['Nordic Music Prize', 'Karamelodiktstipendiet', 'Inspiring Fifty Nordic', 'Cena za kulturu Národní organizace ve Švédsku', 'The KTH Great Prize', 'Platinová kytara', 'Musikexportpriset']",,,6UE7nl9mha6s8z0wFQFIZ2,
Magic!,Q16596856,True,Magic!,Canadian reggae-pop band,,hudební skupina,"['reggae fusion', 'ska']",,,+2012-00-00T00:00:00Z,,+2012-00-00T00:00:00Z,,,Toronto,Kanada,,,,,,,,0DxeaLnv6SyYk2DOqkLO8c,
Ondřej Brzobohatý,Q12042658,True,Ondřej Brzobohatý,"Czech actor, composer, keyboard player and presenter (*1983)","český herec, hudební skladatel, klávesista a moderátor (*1983)",člověk,,+1983-02-02T00:00:00Z,,,,,,muž,Praha,Česko,['Česko'],,,['klávesový nástroj'],,,,,
Robin Thicke,Q467423,True,Robin Thicke,"American singer, songwriter, and record producer",americký zpěvák,člověk,"['rhythm and blues', 'soul']",+1977-03-10T00:00:00Z,,+1994-00-00T00:00:00Z,,,,muž,Los Angeles,Spojené státy americké,['Spojené státy americké'],,['tenor'],"['pianino', 'hlas']",,,,0ZrpamOxcZybMHGg1AYtHP,
Robert Plant,Q428223,True,Robert Plant,English musician and lead vocalist of Led Zeppelin,anglický zpěvák,člověk,"['hard rock', 'heavy metal', 'blues rock', 'folk rock', 'psychedelický rock']",+1948-08-20T00:00:00Z,,+1965-00-00T00:00:00Z,,,,muž,West Bromwich,Spojené království,['Spojené království'],,['tenor'],"['harmonika', 'hlas']","['komandér Řádu britského impéria', 'Silver Clef Award', 'Vyznamenání Kennedyho centra', 'Americana Award for Duo/Group of the Year']",,,1OwarW4LEHnoep20ixRA0y,
M.I.A.,Q204019,True,M.I.A.,British rapper (born 1975),,člověk,"['alternativní hudba', 'indie', 'taneční hudba', 'elektronická hudba', 'pop music']",+1975-07-18T00:00:00Z,,+1999-00-00T00:00:00Z,,,,žena,Hounslow,Spojené království,"['Šrí Lanka', 'Spojené království']",,,"['bicí nástroje', 'hlas']",['člen Řádu britského impéria'],['hinduismus'],,0QJIPDAEDILuo8AIq3pMuU,
Veronicas,Q721992,True,The Veronicas,Australian pop duo,hudební skupina,hudební skupina,"['synthpop', 'nová vlna', 'elektropop', 'pop rock', 'dance-rock']",,,+2004-00-00T00:00:00Z,,+1999-00-00T00:00:00Z,,,Brisbane,Austrálie,,,,,,,,1dIdBZaaHRW2bDTkHNfWln,
Marie Rottrová,Q3512331,True,Marie Rottrová,"Czech actress, presenter, singer, composer and lyricist","česká herečka, moderátorka, zpěvačka, hudební skladatelka a textařka",člověk,['pop music'],+1941-11-13T00:00:00Z,,,,,,žena,Hrušov,Česko,['Česko'],,,['klavír'],,,,,
Marián Vojtko,Q12035361,True,Marian Vojtko,"Slovak actor, opera singer and singer","slovenský herec, operní pěvec a zpěvák",člověk,,+1973-03-20T00:00:00Z,,,,,,muž,Banská Bystrica,Slovensko,,,['tenor'],['hlas'],,,,,
Sam And The Womp,Q2115414,True,Sam and the Womp,three piece music group from the United Kingdom,,hudební skupina,['elektronická hudba'],,,+2009-00-00T00:00:00Z,,+2009-00-00T00:00:00Z,,,,,,,,,,,,3tgiOZXeC1DIimfprvfL64,
Masked Wolf,Q105490126,True,Masked Wolf,Australian rapper,,člověk,,+1991-00-00T00:00:00Z,,+2018-00-00T00:00:00Z,,,,muž,Sydney,Austrálie,['Austrálie'],,,"['klavír', 'kytara', 'buben', 'hlas']",,,,1uU7g3DNSbsu0QjSEqZtEd,
Martin Tungevaag,Q17319322,True,Martin Tungevaag,Norwegian DJ and producer,norský DJ,člověk,['elektronická taneční hudba'],+1993-07-09T00:00:00Z,,+2007-00-00T00:00:00Z,,,,muž,Ålesund,Norsko,['Norsko'],,,,,,,,
Sabaton,Q740159,True,Sabaton,Swedish power metal band,švédská powermetalová skupina,hudební skupina,"['power metal', 'klasický heavy metal']",,,+1999-00-00T00:00:00Z,,+1999-00-00T00:00:00Z,,,Falun,Švédsko,,,,,,,,3o2dn2O0FCVsWDFSh8qxgG,
Nicky Romero,Q260214,True,Nicky Romero,"Dutch DJ, record producer and remixer",nizozemský diskžokej,člověk,"['house music', 'big room house', 'progressive house', 'elektronická taneční hudba', 'electro house', 'deep house']",+1989-01-06T00:00:00Z,,+2007-00-00T00:00:00Z,,,,muž,Amerongen,Nizozemsko,['Nizozemské království'],,,['klávesy'],,,,5ChF3i92IPZHduM7jN3dpg,
Thxsomch,Q118143958,True,ThxSoMch,musical artist,,člověk,,,,,,,,muž,,,,,,,,,,,
Martin Chodúr,Q12035689,True,Martin Chodúr,Czech singer,český zpěvák,člověk,,+1989-11-24T00:00:00Z,,+2005-00-00T00:00:00Z,,,,muž,Ostrava,Česko,,,,['hlas'],,,,,
Marta Kubišová,Q272424,True,Marta Kubišová,Czech singer,česká zpěvačka,člověk,['pop music'],+1942-11-01T00:00:00Z,,+1961-00-00T00:00:00Z,,,,žena,České Budějovice,Česko,"['Česko', 'Československo']",,['alt'],['hlas'],"['medaile Za zásluhy', 'Řád bílého dvojkříže 2. třídy', 'Státní cena Alexandra Dubčeka']",,,,
Tinchy Stryder,Q712992,True,Tinchy Stryder,"British businessman, investor, multi-millionaire, actor and musician",,člověk,['taneční hudba'],+1987-06-10T00:00:00Z,,+1997-00-00T00:00:00Z,,,,muž,Akkra,Ghana,['Spojené království'],,,['hlas'],,,,,
Toby Romeo,Q100731387,True,Toby Romeo,Austrian DJ and producer,,člověk,"['elektronická hudba', 'pop music']",+2000-11-08T00:00:00Z,,,,,,muž,Salcburk,Rakousko,['Rakousko'],,,,,,,2XnY6NZ6rENbLMYabjkRey,
Tom Boxer,Q7002010,True,Tom Boxer,Romanian DJ,,člověk,['house music'],+1977-01-06T00:00:00Z,,+2004-00-00T00:00:00Z,,,,muž,Craiova,Rumunsko,['Rumunsko'],,,"['syntezátor', 'hlas']",,,,,
Markus Schulz,Q57784,True,Markus Schulz,German DJ and music producer,německý DJ a producent,člověk,"['trance', 'elektronická hudba', 'progressive trance']",+1975-02-03T00:00:00Z,,+1990-00-00T00:00:00Z,,,,muž,Eschwege,Německo,"['Spojené státy americké', 'Německo']",,,,,,,6OO0PboZcIWUWL7j2IyeoL,
Mark Knopfler,Q185343,True,Mark Knopfler,British musician,"britský kytarista, zpěvák a skladatel",člověk,"['rock', 'blues rock', 'Celtic rock', 'country rock', 'country', 'blues']",+1949-08-12T00:00:00Z,,+1965-00-00T00:00:00Z,,,,muž,Glasgow,Spojené království,['Spojené království'],,['baryton'],"['Fender Stratocaster', 'Fender Telecaster', 'Gibson Les Paul', 'hlas', 'kytara']","['důstojník Řádu britského impéria', 'Steiger Award', 'Premios Ondas', 'Grammy Award for Best Country Instrumental Performance', 'Grammy Award for Best Immersive Audio Album', 'Cena Grammy za nejlepší spolupráci se zpěvem v country stylu', 'Grammy Award for Best Country Instrumental Performance']",,,0FI0kxP0BWurTz8cB8BBug,
Nonono,Q14624084,True,NoNoNo,Swedish rock band,Švédská rocková skupina,hudební skupina,['pop music'],,,+2012-00-00T00:00:00Z,,+2012-00-00T00:00:00Z,,,Stockholm,Švédsko,,,,,,,,513t0jZUP0K98C4h7KHtEb,
Duran Duran,Q58381,True,Duran Duran,English New Wave band,,hudební skupina,"['nová vlna', 'New romantic', 'art pop', 'hard rock', 'heavy metal', 'pop rock', 'synth rock', 'synthpop', 'alternativní rock', 'elektropop']",,,+1978-00-00T00:00:00Z,,+1978-00-00T00:00:00Z,,,Birmingham,Spojené království,,,,,['Hvězda na Hollywoodském chodníku slávy'],,,0lZoBs4Pzo7R89JM9lxwoT,
Hollywood Undead,Q44637,True,Hollywood Undead,American rap rock band,americká rap rocková skupina,hudební skupina,"['rap rock', 'nu metal']",,,+2005-00-00T00:00:00Z,,+2005-01-01T00:00:00Z,,,Los Angeles,Spojené státy americké,,,,,,,,0CEFCo8288kQU7mJi25s6E,
Birdy,Q288525,True,Birdy,English singer,britská zpěváčka,člověk,"['pop music', 'indie folk', 'indie rock', 'folk', 'indie pop']",+1996-05-15T00:00:00Z,,+2008-00-00T00:00:00Z,,,,žena,Lymington,Spojené království,['Spojené království'],,['soprán'],"['klavír', 'hlas']",,,,2WX2uTcsvV5OnS0inACecP,
Him,Q23479,True,HIM,Finnish rock band,hudební skupina,rocková hudební skupina,"['alternativní metal', 'gotický metal', 'Love metal']",,,+1995-00-00T00:00:00Z,+2017-00-00T00:00:00Z,+1995-00-00T00:00:00Z,,,Oulunkylä,Finsko,,,,,['Emma Award for Best Band of the Year'],,,74aLweE8FHHf4yN5TWv1GM,
Hi-Tack,Q72254,True,Klubbheads,Dutch house music band,hudební skupina,hudební skupina,['eurodance'],,,+1990-00-00T00:00:00Z,,,,,,,,,,,,,,2j9KNQNo5B2mQ1isoa0eIe,
Blog 27,Q804514,True,Blog 27,Polish band,hudební skupina,hudební duo,['pop rock'],,,+2005-00-00T00:00:00Z,,+2005-00-00T00:00:00Z,,,Polsko,Polsko,,,,,,,,,
Blue Effect,Q657758,True,Blue Effect,Czech progressive rock band,česká rocková skupina,hudební skupina,['rock'],,,+1968-00-00T00:00:00Z,,+1968-00-00T00:00:00Z,+2016-00-00T00:00:00Z,,,,,,,,,,,,
Bohouš Josef,Q26171419,True,Bohouš Josef,Czech singer,český zpěvák,člověk,,+1962-02-03T00:00:00Z,,,,,,muž,Plzeň,Česko,['Česko'],,,['hlas'],,,,,
Gym Class Heroes,Q818377,True,Gym Class Heroes,band,,hudební skupina,['alternativní hip-hop'],,,+1997-00-00T00:00:00Z,,+1997-01-01T00:00:00Z,,,Ženeva,Švýcarsko,,,,,,,,4IJczjB0fJ04gs4uvP0Fli,
Bring Me The Horizon,Q494784,True,Bring Me the Horizon,British rock band,britská hudební skupina,hudební skupina,"['techno', 'deathcore', 'metalcore', 'pop rock', 'post-hardcore', 'alternativní metal']",,,+2004-00-00T00:00:00Z,,+2004-00-00T00:00:00Z,,,Sheffield,Spojené království,,,,,,,,1Ffb6ejR6Fe5IamqA5oRUF,
Bruce Springsteen,Q1225,True,Bruce Springsteen,American rock singer (born 1949),americký zpěvák,člověk,['rock'],+1949-09-23T00:00:00Z,,+1969-00-00T00:00:00Z,,,,muž,Long Branch,Spojené státy americké,['Spojené státy americké'],,['baryton'],"['kytara', 'harmonika', 'klavír']","['MusiCares Person of the Year', 'Rock and Roll Hall of Fame', 'Prezidentská medaile svobody', 'New Jersey Hall of Fame', 'Vyznamenání Kennedyho centra', 'Nejlepší mužský videoklip', 'MTV Video Music Award for Best Stage Performance', ""MTV Video Music Award – Viewer's Choice"", 'Nejlepší videoklip z filmu']",,,3eqjTLE0HfPfh78zjh6TqT,
Gold 1,Q2701567,True,Gold 1,American singer,americký zpěvák,člověk,,+2000-01-01T00:00:00Z,,,,,,muž,,,['Spojené státy americké'],,,['hlas'],,,,,
Bryan Adams,Q482907,True,Bryan Adams,Canadian guitarist,kanadský rockový hudebník,člověk,"['rock', 'alternativní rock', 'roots rock', 'soft rock', 'pop music', 'adult contemporary', 'pop rock', 'heartland rock', 'hard rock']",+1959-11-05T00:00:00Z,,+1975-00-00T00:00:00Z,+2022-00-00T00:00:00Z,,,muž,Kingston,Kanada,['Kanada'],,['tenor'],"['kytara', 'basová kytara', 'harmonika', 'klavír', 'varhany', 'pianino', 'hlas']","['Zlaté pírko', 'důstojník Řádu Kanady', 'Governor General’s Performing Arts Award', 'Juno Award for Album of the Year', 'Juno Award for Songwriter of the Year', 'Jack Richardson Producer of the Year Award', 'Juno Award for Album of the Year', 'Juno Award for Songwriter of the Year', 'MTV Video Music Award for Best Stage Performance', 'Juno Award for Entertainer of the Year', 'Cena Grammy za nejlepší píseň k filmu, pro televizi či jiné vizuální médium', 'Jack Richardson Producer of the Year Award', 'Juno Award for Entertainer of the Year', 'Juno International Achievement Award', 'MTV Movie Award for Best Song from a Movie', 'Juno Award za mezinárodní album roku', 'MTV Europe Music Award pro nejlepšího zpěváka', 'Juno Award for Songwriter of the Year', 'Canadian Music Hall of Fame', 'Juno Humanitarian Award', 'Kanadský chodník slávy', 'Hvězda na Hollywoodském chodníku slávy']",,,3Z02hBLubJxuFJfhacLSDc,
Glass Animals,Q16839267,True,Glass Animals,English psychedelic pop band,britská hudební skupina,hudební skupina,"['psychedelický pop', 'Trip hop', 'indietronica', 'art pop', 'electronic pop']",,,+2010-00-00T00:00:00Z,,+2012-00-00T00:00:00Z,,,Oxford,Spojené království,,,,,,,,4yvcSjfu4PC0CYQyLy4wSq,
Frenship,Q27429874,True,Frenship,American pop duo,,hudební duo,['elektropop'],,,,,,,,Los Angeles,Spojené státy americké,,,,,,,,7xEFii6utZmQ61kX59HmLH,
Calum Scott,Q20685460,True,Calum Scott,English singer,anglický zpěvák,člověk,['pop music'],+1988-10-12T00:00:00Z,,+2013-00-00T00:00:00Z,,,,muž,Kingston upon Hull,Spojené království,['Spojené království'],,,,,,['homosexualita'],6ydoSd3N2mwgwBHtF6K7eX,
Capital Cities,Q5035696,True,Capital Cities,American pop band,,hudební duo,"['synthpop', 'indie pop']",,,+2010-00-00T00:00:00Z,,+2008-00-00T00:00:00Z,,,Los Angeles,Spojené státy americké,,,,,,,,4gwpcMTbLWtBUlOijbVpuu,
František Segrado,Q46094764,True,František Segrado,actor,"český zpěvák, herec a výtvarník",člověk,,+1955-01-08T00:00:00Z,+2021-07-24T00:00:00Z,,,,,muž,Vsetín,Česko,,,,,,,,,
Hoobastank,Q49724,True,Hoobastank,American rock band,,rocková hudební skupina,['alternativní rock'],,,+1994-00-00T00:00:00Z,,+1994-00-00T00:00:00Z,,,Agoura Hills,Spojené státy americké,,,,,,,,2MqhkhX4npxDZ62ObR5ELO,
Cash Cash,Q1047317,True,Cash Cash,American electronic dance music band,,hudební skupina,"['pop punk', 'synthpop']",,,+2002-00-00T00:00:00Z,,+2002-01-01T00:00:00Z,,,Roseland,Spojené státy americké,,,,,,,,1LOB7jTeEV14pHai6EXSzF,
Horkýže Slíže,Q1628217,True,Horkýže Slíže,Slovak rock band,slovenská rocková kapela,hudební skupina,['punk rock'],,,+1992-00-00T00:00:00Z,,+1992-00-00T00:00:00Z,,,,,,,,,,,,,
Jasmine Thompson,Q15216612,True,Jasmine Thompson,English singer and songwriter,britská zpěvačka a skladatelka,člověk,"['pop rock', 'teen pop', 'dance-pop', 'contemporary R&B']",+2000-11-08T00:00:00Z,,+2010-00-00T00:00:00Z,,,,žena,Londýn,Římská říše,['Spojené království'],,,"['klavír', 'hlas', 'kytara']",,,,2TL8gYTNgD6nXkyuUdDrMg,
Astrid S,Q17107619,True,Astrid S,Norwegian singer and songwriter,norská zpěvačka a skladatelka,člověk,"['rhythm and blues', 'pop music', 'elektropop', 'Tropical house']",+1996-10-29T00:00:00Z,,+2013-00-00T00:00:00Z,,,,žena,Berkåk,Norsko,['Norsko'],,,"['kytara', 'klavír', 'flétna', 'hlas']","['Årets spellemann', 'Årets trønder', 'Cena pro nováčka P3 Gull', 'Píseň roku P3 Gull']",,,3AVfmawzu83sp94QW7CEGm,
Aysel,Q236078,True,Aysel Teymurzadeh,Azerbaijani singer,Ázerbajdšánská zpěvačka,člověk,['pop music'],+1989-04-25T00:00:00Z,,+2005-00-00T00:00:00Z,+2012-00-00T00:00:00Z,,,žena,Baku,Ruské impérium,['Ázerbájdžán'],,,"['klavír', 'hlas']",,,,,
James Tw,Q26703160,True,James TW,British singer-songwriter,,člověk,['pop music'],+1997-10-27T00:00:00Z,,+2014-00-00T00:00:00Z,,,,muž,Warwickshire,Spojené království,['Anglie'],,,,,,,0B3N0ZINFWvizfa8bKiz4v,
B.O.B,Q45667,True,B.o.B,"American rapper, singer and record producer",americký rapper a hudební producent,člověk,"['alternativní hip-hop', 'pop music', 'rock', 'hip hop', 'alternativní rock', 'Southern hip hop', 'Atlanta hip hop', 'pop rap', 'pop rock', 'dirty south']",+1988-11-15T00:00:00Z,,+2006-00-00T00:00:00Z,,,,muž,Winston-Salem,Spojené státy americké,['Spojené státy americké'],,,"['kytara', 'hlas', 'klavír']",,,,5ndkK3dpZLKtBklKjxNQwT,
Jakub Děkan,Q29513099,True,Jakub Děkan,Czech singer,český zpěvák,člověk,,+1992-05-05T00:00:00Z,,,,,,muž,Liberec,Česko,['Česko'],,,['hlas'],,,,,
