,hitparada,rok,tyden,pozice,album,interpret,interpret_hlavni,vydavatel
194395,CZ - ALBUMS CLASSICAL - TOP 10,2015,28,5,Best Of Čajkovskij,Různí,Různí,Supraphon
194396,CZ - ALBUMS CLASSICAL - TOP 10,2015,28,6,Best Of Beethoven,Různí,Různí,Supraphon
194397,CZ - ALBUMS CLASSICAL - TOP 10,2015,28,7,Best of Johann Strauss,Různí,Různí,Supraphon
194398,CZ - ALBUMS CLASSICAL - TOP 10,2015,28,8,Melancholie,Štefan Margita,Štefan Margita,Supraphon
194399,CZ - ALBUMS CLASSICAL - TOP 10,2015,29,1,Má vlast,Čf/kubelík,Čf,Supraphon
194400,CZ - ALBUMS CLASSICAL - TOP 10,2015,29,2,Czech Music Bestsellers,Různí,Různí,Supraphon
194401,CZ - ALBUMS CLASSICAL - TOP 10,2015,29,3,Best Of Dvořák,Různí,Různí,Supraphon
194402,CZ - ALBUMS CLASSICAL - TOP 10,2015,29,4,Dvořák - Symfonie - komplet,Čf/bělohlávek,Čf,Universal Music
194403,CZ - ALBUMS CLASSICAL - TOP 10,2015,29,5,Hříšnice,Dagmar Pecková,Dagmar Pecková,Supraphon
194404,CZ - ALBUMS CLASSICAL - TOP 10,2015,29,6,Romantický klavír,Jiří Malásek,Jiří Malásek,Supraphon
194405,CZ - ALBUMS CLASSICAL - TOP 10,2015,29,7,Best Of Chopin,Různí,Různí,Supraphon
194406,CZ - ALBUMS CLASSICAL - TOP 10,2015,29,8,Best Of Čajkovskij,Různí,Různí,Supraphon
194407,CZ - ALBUMS CLASSICAL - TOP 10,2015,29,9,Best Of Beethoven,Různí,Různí,Supraphon
194408,CZ - ALBUMS CLASSICAL - TOP 10,2015,29,10,Best Of Vivaldi,Různí,Různí,Supraphon
194144,CZ - ALBUMS CLASSICAL - TOP 10,2015,3,1,Orquestrina,Radek Baborák,Radek Baborák,Supraphon
194145,CZ - ALBUMS CLASSICAL - TOP 10,2015,3,2,Dvořák - Symfonie - komplet,Čf/bělohlávek,Čf,Universal Music
194146,CZ - ALBUMS CLASSICAL - TOP 10,2015,3,3,Love in Venice,Rieu Andre,Rieu Andre,Universal Music
194147,CZ - ALBUMS CLASSICAL - TOP 10,2015,3,4,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
194148,CZ - ALBUMS CLASSICAL - TOP 10,2015,3,5,"Dvořák-Novosvětská, Smetana - Vltava",Čf/neumann,Čf,Supraphon
194149,CZ - ALBUMS CLASSICAL - TOP 10,2015,3,6,Gipsy Fire,Pavel Šporcl,Pavel Šporcl,Supraphon
194150,CZ - ALBUMS CLASSICAL - TOP 10,2015,3,7,Dvořák - Symfonie č. 9,Čf/bělohlávek,Čf,Supraphon
194151,CZ - ALBUMS CLASSICAL - TOP 10,2015,3,8,Má vlast,Čf/kubelík,Čf,Supraphon
194152,CZ - ALBUMS CLASSICAL - TOP 10,2015,3,9,Má vlast - Bedřich Smetana,Pkf/jakub Hrůša,Pkf,Supraphon
194153,CZ - ALBUMS CLASSICAL - TOP 10,2015,3,10,Best Of Janáček,Různí,Různí,Supraphon
194409,CZ - ALBUMS CLASSICAL - TOP 10,2015,30,1,Smetana: Má vlast,Čf/bělohlávek,Čf,Supraphon
194410,CZ - ALBUMS CLASSICAL - TOP 10,2015,30,2,Má vlast,Čf/kubelík,Čf,Supraphon
194411,CZ - ALBUMS CLASSICAL - TOP 10,2015,30,3,Má vlast,Čf/mackerras,Čf,Supraphon
194412,CZ - ALBUMS CLASSICAL - TOP 10,2015,30,4,Gipsy Fire,Pavel Šporcl,Pavel Šporcl,Supraphon
194413,CZ - ALBUMS CLASSICAL - TOP 10,2015,30,5,Czech Music Bestsellers,Různí,Různí,Supraphon
194414,CZ - ALBUMS CLASSICAL - TOP 10,2015,30,6,Best Of Smetana,Různí,Různí,Supraphon
194415,CZ - ALBUMS CLASSICAL - TOP 10,2015,30,7,Best Of Janáček,Různí,Různí,Supraphon
194416,CZ - ALBUMS CLASSICAL - TOP 10,2015,30,8,Romantický klavír,Jiří Malásek,Jiří Malásek,Supraphon
194417,CZ - ALBUMS CLASSICAL - TOP 10,2015,30,9,Best Of Čajkovskij,Různí,Různí,Supraphon
194418,CZ - ALBUMS CLASSICAL - TOP 10,2015,30,10,Hříšnice,Dagmar Pecková,Dagmar Pecková,Supraphon
194419,CZ - ALBUMS CLASSICAL - TOP 10,2015,31,1,"Dvořák, Suk, Janáček: Houslové koncerty",Josef Špaček,Josef Špaček,Supraphon
194420,CZ - ALBUMS CLASSICAL - TOP 10,2015,31,2,Má vlast,Čf/kubelík,Čf,Supraphon
194421,CZ - ALBUMS CLASSICAL - TOP 10,2015,31,3,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
194422,CZ - ALBUMS CLASSICAL - TOP 10,2015,31,4,"Mozart, W.A. Klavírní sonáty K. 333, 457, 570, Fan",Ivan Moravec,Ivan Moravec,Supraphon
194423,CZ - ALBUMS CLASSICAL - TOP 10,2015,31,5,Czech Music Bestsellers,Různí,Různí,Supraphon
194424,CZ - ALBUMS CLASSICAL - TOP 10,2015,31,6,Dvořák - Symfonie č. 9,Čf/bělohlávek,Čf,Supraphon
194425,CZ - ALBUMS CLASSICAL - TOP 10,2015,31,7,Romantický klavír,Jiří Malásek,Jiří Malásek,Supraphon
194426,CZ - ALBUMS CLASSICAL - TOP 10,2015,31,8,Antonín Dvořák - Slovanské tance,Čf/neumann,Čf,Supraphon
194427,CZ - ALBUMS CLASSICAL - TOP 10,2015,31,9,Dvořák - Stabat mater op. 58,Čf/sawallisch,Čf,Supraphon
194428,CZ - ALBUMS CLASSICAL - TOP 10,2015,31,10,Má vlast,Čf/smetáček,Čf,Supraphon
194429,CZ - ALBUMS CLASSICAL - TOP 10,2015,32,1,Má vlast,Čf/mackerras,Čf,Supraphon
194430,CZ - ALBUMS CLASSICAL - TOP 10,2015,32,2,"Dvořák, Suk, Janáček: Houslové koncerty",Josef Špaček,Josef Špaček,Supraphon
194431,CZ - ALBUMS CLASSICAL - TOP 10,2015,32,3,"Chopin, F. Nokturna - Legendární na",Ivan Moravec,Ivan Moravec,Supraphon
194432,CZ - ALBUMS CLASSICAL - TOP 10,2015,32,4,Romantický klavír,Jiří Malásek,Jiří Malásek,Supraphon
194433,CZ - ALBUMS CLASSICAL - TOP 10,2015,32,5,Best Of Beethoven,Různí,Různí,Supraphon
194434,CZ - ALBUMS CLASSICAL - TOP 10,2015,32,6,Best Of Bach,Různí,Různí,Supraphon
194435,CZ - ALBUMS CLASSICAL - TOP 10,2015,32,7,Best Of Janáček,Různí,Různí,Supraphon
194436,CZ - ALBUMS CLASSICAL - TOP 10,2015,33,1,Morava,Škampovo Kvarteto/i. Bittová,Škampovo Kvarteto,Supraphon
194437,CZ - ALBUMS CLASSICAL - TOP 10,2015,33,2,Dvořák - Symfonie - komplet,Čf/bělohlávek,Čf,Universal Music
194438,CZ - ALBUMS CLASSICAL - TOP 10,2015,33,3,Má vlast,Čf/mackerras,Čf,Supraphon
194439,CZ - ALBUMS CLASSICAL - TOP 10,2015,33,4,Best Of Vivaldi,Různí,Různí,Supraphon
194440,CZ - ALBUMS CLASSICAL - TOP 10,2015,33,5,"Ančerl Gold Edition 36 Prokofjev, S. Alex. Něvský",Čf/ančerl,Čf,Supraphon
194441,CZ - ALBUMS CLASSICAL - TOP 10,2015,33,6,Perličky české klasické hudby,Čf/neumann,Čf,Supraphon
194442,CZ - ALBUMS CLASSICAL - TOP 10,2015,33,7,"Beethoven, L.v. Klavírní sonáty",Ivan Moravec,Ivan Moravec,Supraphon
194443,CZ - ALBUMS CLASSICAL - TOP 10,2015,33,8,Gipsy Fire,Pavel Šporcl,Pavel Šporcl,Supraphon
194444,CZ - ALBUMS CLASSICAL - TOP 10,2015,33,9,Mozart v Praze,Různí,Různí,Supraphon
194445,CZ - ALBUMS CLASSICAL - TOP 10,2015,33,10,Best of Czech Classics,Různí,Různí,Supraphon
194446,CZ - ALBUMS CLASSICAL - TOP 10,2015,34,1,Perličky české klasické hudby,Čf/neumann,Čf,Supraphon
194447,CZ - ALBUMS CLASSICAL - TOP 10,2015,34,2,"Mozart, W.A. Divertimenta pro smyčcové kvarteto...",Stamicovo Kvarteto,Stamicovo Kvarteto,Supraphon
194448,CZ - ALBUMS CLASSICAL - TOP 10,2015,34,3,"Dvořák, Suk, Janáček: Houslové koncerty",Josef Špaček,Josef Špaček,Supraphon
194449,CZ - ALBUMS CLASSICAL - TOP 10,2015,34,4,Antonín Dvořák - Symfonie 6-9,Čf/kubelík,Čf,Universal Music
194450,CZ - ALBUMS CLASSICAL - TOP 10,2015,34,5,Vivaldianno MMVIII,Svěcený J./dvořák M.,Svěcený J.,Panther
194451,CZ - ALBUMS CLASSICAL - TOP 10,2015,34,6,Best of Czech Classics,Různí,Různí,Supraphon
194452,CZ - ALBUMS CLASSICAL - TOP 10,2015,34,7,Best Of Mozart,Různí,Různí,Supraphon
194453,CZ - ALBUMS CLASSICAL - TOP 10,2015,34,8,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
194454,CZ - ALBUMS CLASSICAL - TOP 10,2015,34,9,Antonín Dvořák - Rusalka   DVD,Orchestr Nd/chalabala,Orchestr Nd,Supraphon
194455,CZ - ALBUMS CLASSICAL - TOP 10,2015,34,10,Franz Schubert: Smyčcový kvartet č. 14 d moll,Pavel Haas Quartet,Pavel Haas Quartet,Supraphon
194456,CZ - ALBUMS CLASSICAL - TOP 10,2015,35,1,Best Of Smetana,Různí,Různí,Supraphon
194457,CZ - ALBUMS CLASSICAL - TOP 10,2015,35,2,Má vlast,Čf/kubelík,Čf,Supraphon
194458,CZ - ALBUMS CLASSICAL - TOP 10,2015,35,3,Gipsy Fire,Pavel Šporcl,Pavel Šporcl,Supraphon
194459,CZ - ALBUMS CLASSICAL - TOP 10,2015,35,4,Gipsy Way,Pavel Šporcl,Pavel Šporcl,Supraphon
194460,CZ - ALBUMS CLASSICAL - TOP 10,2015,35,5,Love And Longing (Ravel*Dvořák*Mahler),Magdalena Kožená,Magdalena Kožená,Universal Music
194461,CZ - ALBUMS CLASSICAL - TOP 10,2015,35,6,Best Of Chopin,Různí,Různí,Supraphon
194462,CZ - ALBUMS CLASSICAL - TOP 10,2015,35,7,Vivaldianno MMXII,Svěcený J./dvořák M.,Svěcený J.,Universal Music
194463,CZ - ALBUMS CLASSICAL - TOP 10,2015,35,8,Best Of Vivaldi,Různí,Různí,Supraphon
194464,CZ - ALBUMS CLASSICAL - TOP 10,2015,35,9,Smetana: Má vlast,Čf/bělohlávek,Čf,Supraphon
194465,CZ - ALBUMS CLASSICAL - TOP 10,2015,35,10,Smetana - smyčcové kvartety,Pavel Haas Quartet,Pavel Haas Quartet,Supraphon
194466,CZ - ALBUMS CLASSICAL - TOP 10,2015,36,1,Má vlast,Čf/kubelík,Čf,Supraphon
194467,CZ - ALBUMS CLASSICAL - TOP 10,2015,36,2,Smetana: Má vlast,Čf/bělohlávek,Čf,Supraphon
194468,CZ - ALBUMS CLASSICAL - TOP 10,2015,36,3,Antonín Dvořák - Slovanské tance,Čf/neumann,Čf,Supraphon
194469,CZ - ALBUMS CLASSICAL - TOP 10,2015,36,4,"Chopin, F. Nokturna - Legendární na",Ivan Moravec,Ivan Moravec,Supraphon
194470,CZ - ALBUMS CLASSICAL - TOP 10,2015,36,5,Smetana - smyčcové kvartety,Pavel Haas Quartet,Pavel Haas Quartet,Supraphon
194471,CZ - ALBUMS CLASSICAL - TOP 10,2015,36,6,Czech Music Bestsellers,Různí,Různí,Supraphon
194472,CZ - ALBUMS CLASSICAL - TOP 10,2015,36,7,Best Of Smetana,Různí,Různí,Supraphon
194473,CZ - ALBUMS CLASSICAL - TOP 10,2015,36,8,"Beethoven, L.v. Klavírní sonáty",Ivan Moravec,Ivan Moravec,Supraphon
194474,CZ - ALBUMS CLASSICAL - TOP 10,2015,36,9,Antonín Dvořák - Slovanské tance,Čf/bělohlávek,Čf,Ms
194475,CZ - ALBUMS CLASSICAL - TOP 10,2015,36,10,Best Of Beethoven,Různí,Různí,Supraphon
194476,CZ - ALBUMS CLASSICAL - TOP 10,2015,37,1,Smetana - Greatest Hits,Různí,Různí,Supraphon
194477,CZ - ALBUMS CLASSICAL - TOP 10,2015,37,2,Smetana: Má vlast,Čf/bělohlávek,Čf,Supraphon
194478,CZ - ALBUMS CLASSICAL - TOP 10,2015,37,3,Má vlast - Bedřich Smetana,Pkf/jakub Hrůša,Pkf,Supraphon
194479,CZ - ALBUMS CLASSICAL - TOP 10,2015,37,4,Best Of Jonas Kaufmann,Různí,Různí,Universal Music
194480,CZ - ALBUMS CLASSICAL - TOP 10,2015,37,5,Česká serenáda,Různí,Různí,Supraphon
194481,CZ - ALBUMS CLASSICAL - TOP 10,2015,37,6,Czech Music Bestsellers,Různí,Různí,Supraphon
194482,CZ - ALBUMS CLASSICAL - TOP 10,2015,37,7,Piano & Cello Concert,Bárta Jiří/a.dvořák,Bárta Jiří,Supraphon
194483,CZ - ALBUMS CLASSICAL - TOP 10,2015,37,8,Má vlast,Čf/kubelík,Čf,Supraphon
194484,CZ - ALBUMS CLASSICAL - TOP 10,2015,37,9,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
194485,CZ - ALBUMS CLASSICAL - TOP 10,2015,37,10,Romantický klavír,Jiří Malásek,Jiří Malásek,Supraphon
194486,CZ - ALBUMS CLASSICAL - TOP 10,2015,38,1,Má vlast - Bedřich Smetana,Pkf/jakub Hrůša,Pkf,Supraphon
194487,CZ - ALBUMS CLASSICAL - TOP 10,2015,38,2,Czech Music Bestsellers,Různí,Různí,Supraphon
194488,CZ - ALBUMS CLASSICAL - TOP 10,2015,38,3,Dvořák - Symfonie - komplet,Čf/bělohlávek,Čf,Universal Music
194489,CZ - ALBUMS CLASSICAL - TOP 10,2015,38,4,A. Dvořák - Symfonie č. 6-9 - Z Nového světa,Berliner Philharmoniker/r. Kubelík,Berliner Philharmoniker,Universal Music
194490,CZ - ALBUMS CLASSICAL - TOP 10,2015,38,5,Piano & Cello Concert,Bárta Jiří/a.dvořák,Bárta Jiří,Supraphon
194491,CZ - ALBUMS CLASSICAL - TOP 10,2015,38,6,"Smetana, B. Vltava / Dvořák, A. Symfonie č. 9 e mo",Čf/ančerl,Čf,Supraphon
194492,CZ - ALBUMS CLASSICAL - TOP 10,2015,38,7,Má vlast,Čf/kubelík,Čf,Supraphon
194493,CZ - ALBUMS CLASSICAL - TOP 10,2015,38,8,Best of Czech Classics,Různí,Různí,Supraphon
194494,CZ - ALBUMS CLASSICAL - TOP 10,2015,38,9,Best Of Dvořák,Různí,Různí,Supraphon
194495,CZ - ALBUMS CLASSICAL - TOP 10,2015,38,10,"Dvořák, Suk, Janáček: Houslové koncerty",Josef Špaček,Josef Špaček,Supraphon
194496,CZ - ALBUMS CLASSICAL - TOP 10,2015,39,1,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
194497,CZ - ALBUMS CLASSICAL - TOP 10,2015,39,2,Janáček: Moravská lidová poesie v písních,Janková / Král / Kahánek,Janková,Supraphon
194498,CZ - ALBUMS CLASSICAL - TOP 10,2015,39,3,"Vivaldi, Bach, Telemann: Hobojové koncerty",Vilém Veverka,Vilém Veverka,Supraphon
194499,CZ - ALBUMS CLASSICAL - TOP 10,2015,39,4,Hříšnice,Dagmar Pecková,Dagmar Pecková,Supraphon
194500,CZ - ALBUMS CLASSICAL - TOP 10,2015,39,5,Smetana - smyčcové kvartety,Pavel Haas Quartet,Pavel Haas Quartet,Supraphon
194501,CZ - ALBUMS CLASSICAL - TOP 10,2015,39,6,Dvořák - Symfonie č. 9,Čf/bělohlávek,Čf,Supraphon
194502,CZ - ALBUMS CLASSICAL - TOP 10,2015,39,7,Má vlast,Čf/kubelík,Čf,Supraphon
194503,CZ - ALBUMS CLASSICAL - TOP 10,2015,39,8,Romantický klavír,Jiří Malásek,Jiří Malásek,Supraphon
194504,CZ - ALBUMS CLASSICAL - TOP 10,2015,39,9,Má vlast - Bedřich Smetana,Pkf/jakub Hrůša,Pkf,Supraphon
194505,CZ - ALBUMS CLASSICAL - TOP 10,2015,39,10,Czech Music Bestsellers,Různí,Různí,Supraphon
194154,CZ - ALBUMS CLASSICAL - TOP 10,2015,4,1,Best Of Dvořák,Různí,Různí,Supraphon
194155,CZ - ALBUMS CLASSICAL - TOP 10,2015,4,2,Best Of Smetana,Různí,Různí,Supraphon
194156,CZ - ALBUMS CLASSICAL - TOP 10,2015,4,3,It Must Be Wonderful,Jonas Kaufmann,Jonas Kaufmann,Sony Music
194157,CZ - ALBUMS CLASSICAL - TOP 10,2015,4,4,Má vlast - Bedřich Smetana,Pkf/jakub Hrůša,Pkf,Supraphon
194158,CZ - ALBUMS CLASSICAL - TOP 10,2015,4,5,Bohemian Impressions,Čf/bělohlávek;neumann;pešek,Čf,Supraphon
194159,CZ - ALBUMS CLASSICAL - TOP 10,2015,4,6,Vivaldianno MMXII,Svěcený J./dvořák M.,Svěcený J.,Universal Music
194160,CZ - ALBUMS CLASSICAL - TOP 10,2015,4,7,A. Dvořák - Symfonie č. 6-9 - Z Nového světa,Berliner Philharmoniker/r. Kubelík,Berliner Philharmoniker,Universal Music
194161,CZ - ALBUMS CLASSICAL - TOP 10,2015,4,8,Antonín Dvořák - Slovanské tance,Čf/bělohlávek,Čf,Ms
194162,CZ - ALBUMS CLASSICAL - TOP 10,2015,4,9,Orquestrina,Radek Baborák,Radek Baborák,Supraphon
194163,CZ - ALBUMS CLASSICAL - TOP 10,2015,4,10,Love in Venice,Rieu Andre,Rieu Andre,Universal Music
194506,CZ - ALBUMS CLASSICAL - TOP 10,2015,40,1,Czech Opera Highlights,Různí,Různí,Supraphon
194507,CZ - ALBUMS CLASSICAL - TOP 10,2015,40,2,L. van Beethoven: Symfonie 1-9,Leonard Bernstein,Leonard Bernstein,Universal Music
194508,CZ - ALBUMS CLASSICAL - TOP 10,2015,40,3,Má vlast,Čf/kubelík,Čf,Supraphon
194509,CZ - ALBUMS CLASSICAL - TOP 10,2015,40,4,"Vivaldi, Bach, Telemann: Hobojové koncerty",Vilém Veverka,Vilém Veverka,Supraphon
194510,CZ - ALBUMS CLASSICAL - TOP 10,2015,40,5,Piano & Cello Concert,Bárta Jiří/a.dvořák,Bárta Jiří,Supraphon
194511,CZ - ALBUMS CLASSICAL - TOP 10,2015,40,6,Janáček: Moravská lidová poesie v písních,Janková / Král / Kahánek,Janková,Supraphon
194512,CZ - ALBUMS CLASSICAL - TOP 10,2015,40,7,Romantický klavír,Jiří Malásek,Jiří Malásek,Supraphon
194513,CZ - ALBUMS CLASSICAL - TOP 10,2015,40,8,Dvořák - Symfonie č. 9,Čf/bělohlávek,Čf,Supraphon
194514,CZ - ALBUMS CLASSICAL - TOP 10,2015,40,9,Best Of Chopin,Různí,Různí,Supraphon
194515,CZ - ALBUMS CLASSICAL - TOP 10,2015,40,10,Best Of Beethoven,Různí,Různí,Supraphon
194516,CZ - ALBUMS CLASSICAL - TOP 10,2015,41,1,Janáček: Moravská lidová poesie v písních,Janková / Král / Kahánek,Janková,Supraphon
194517,CZ - ALBUMS CLASSICAL - TOP 10,2015,41,2,"Smetana, B. Vltava / Dvořák, A. Symfonie č. 9 e mo",Čf/ančerl,Čf,Supraphon
194518,CZ - ALBUMS CLASSICAL - TOP 10,2015,41,3,Antonín Dvořák - Symfonie 6-9,Čf/kubelík,Čf,Universal Music
194519,CZ - ALBUMS CLASSICAL - TOP 10,2015,41,4,Hříšnice,Dagmar Pecková,Dagmar Pecková,Supraphon
194520,CZ - ALBUMS CLASSICAL - TOP 10,2015,41,5,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
194521,CZ - ALBUMS CLASSICAL - TOP 10,2015,41,6,3 Classic Albums,Magdalena Kožená,Magdalena Kožená,Universal Music
194522,CZ - ALBUMS CLASSICAL - TOP 10,2015,41,7,Smetana - smyčcové kvartety,Pavel Haas Quartet,Pavel Haas Quartet,Supraphon
194523,CZ - ALBUMS CLASSICAL - TOP 10,2015,41,8,Mysliveček: Sinfonie,Pražský Komorní Orchestr,Pražský Komorní Orchestr,Supraphon
194524,CZ - ALBUMS CLASSICAL - TOP 10,2015,41,9,Czech Music Bestsellers,Různí,Různí,Supraphon
194525,CZ - ALBUMS CLASSICAL - TOP 10,2015,41,10,Best Of Jonas Kaufmann,Různí,Různí,Universal Music
194526,CZ - ALBUMS CLASSICAL - TOP 10,2015,42,1,Má vlast,Čf/kubelík,Čf,Supraphon
194527,CZ - ALBUMS CLASSICAL - TOP 10,2015,42,2,Mysliveček: Sinfonie,Pražský Komorní Orchestr,Pražský Komorní Orchestr,Supraphon
194528,CZ - ALBUMS CLASSICAL - TOP 10,2015,42,3,Hříšnice,Dagmar Pecková,Dagmar Pecková,Supraphon
194529,CZ - ALBUMS CLASSICAL - TOP 10,2015,42,4,Romantický klavír,Jiří Malásek,Jiří Malásek,Supraphon
194530,CZ - ALBUMS CLASSICAL - TOP 10,2015,42,5,Smetana - smyčcové kvartety,Pavel Haas Quartet,Pavel Haas Quartet,Supraphon
194531,CZ - ALBUMS CLASSICAL - TOP 10,2015,42,6,"Dvořák, Suk, Janáček: Houslové koncerty",Josef Špaček,Josef Špaček,Supraphon
194532,CZ - ALBUMS CLASSICAL - TOP 10,2015,42,7,Best Of Vivaldi,Různí,Různí,Supraphon
194533,CZ - ALBUMS CLASSICAL - TOP 10,2015,42,8,Smetana: Má vlast,Čf/bělohlávek,Čf,Supraphon
194534,CZ - ALBUMS CLASSICAL - TOP 10,2015,42,9,Romantický klavír / To nejlepší 2,Jiří Malásek,Jiří Malásek,Supraphon
194535,CZ - ALBUMS CLASSICAL - TOP 10,2015,42,10,Čtvero ročních dob,Pavel Šporcl,Pavel Šporcl,Supraphon
194536,CZ - ALBUMS CLASSICAL - TOP 10,2015,43,1,Sonáty a partity pro sólové housle,Pavel Šporcl,Pavel Šporcl,Supraphon
194537,CZ - ALBUMS CLASSICAL - TOP 10,2015,43,2,Czech Music Bestsellers,Různí,Různí,Supraphon
194538,CZ - ALBUMS CLASSICAL - TOP 10,2015,43,3,"Vivaldi, Bach, Telemann: Hobojové koncerty",Vilém Veverka,Vilém Veverka,Supraphon
194539,CZ - ALBUMS CLASSICAL - TOP 10,2015,43,4,Smetana - smyčcové kvartety,Pavel Haas Quartet,Pavel Haas Quartet,Supraphon
194540,CZ - ALBUMS CLASSICAL - TOP 10,2015,43,5,Sehling: Vánoce v Pražské katedrále / Hudba Prahy,Collegium Marianum/j.semerádová,Collegium Marianum,Supraphon
194541,CZ - ALBUMS CLASSICAL - TOP 10,2015,43,6,Smetana: Má vlast,Čf/bělohlávek,Čf,Supraphon
194542,CZ - ALBUMS CLASSICAL - TOP 10,2015,43,7,Best Of Chopin,Různí,Různí,Supraphon
194543,CZ - ALBUMS CLASSICAL - TOP 10,2015,43,8,Best Of Janáček,Různí,Různí,Supraphon
194544,CZ - ALBUMS CLASSICAL - TOP 10,2015,43,9,Melancholie,Štefan Margita,Štefan Margita,Supraphon
194545,CZ - ALBUMS CLASSICAL - TOP 10,2015,43,10,Romantický klavír,Jiří Malásek,Jiří Malásek,Supraphon
194546,CZ - ALBUMS CLASSICAL - TOP 10,2015,44,1,Tříkrálový recitál (Praha 1987),Ivan Moravec,Ivan Moravec,Supraphon
194547,CZ - ALBUMS CLASSICAL - TOP 10,2015,44,2,Sonáty a partity pro sólové housle,Pavel Šporcl,Pavel Šporcl,Supraphon
194548,CZ - ALBUMS CLASSICAL - TOP 10,2015,44,3,Best Of Dvořák,Různí,Různí,Supraphon
194549,CZ - ALBUMS CLASSICAL - TOP 10,2015,44,4,Hříšnice,Dagmar Pecková,Dagmar Pecková,Supraphon
194550,CZ - ALBUMS CLASSICAL - TOP 10,2015,44,5,Best Of Jonas Kaufmann,Různí,Různí,Universal Music
194551,CZ - ALBUMS CLASSICAL - TOP 10,2015,44,6,Má vlast,Čf/kubelík,Čf,Supraphon
194552,CZ - ALBUMS CLASSICAL - TOP 10,2015,44,7,Czech Music Bestsellers,Různí,Různí,Supraphon
194553,CZ - ALBUMS CLASSICAL - TOP 10,2015,44,8,Romantický klavír,Jiří Malásek,Jiří Malásek,Supraphon
194554,CZ - ALBUMS CLASSICAL - TOP 10,2015,44,9,České zpěvy vánoční,Musica Bohemica,Musica Bohemica,Supraphon
194555,CZ - ALBUMS CLASSICAL - TOP 10,2015,44,10,50 Great Tracks,Luciano Pavarotti,Luciano Pavarotti,Universal Music
194556,CZ - ALBUMS CLASSICAL - TOP 10,2015,45,1,Sonáty a partity pro sólové housle,Pavel Šporcl,Pavel Šporcl,Supraphon
194557,CZ - ALBUMS CLASSICAL - TOP 10,2015,45,2,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
194558,CZ - ALBUMS CLASSICAL - TOP 10,2015,45,3,Tříkrálový recitál (Praha 1987),Ivan Moravec,Ivan Moravec,Supraphon
194559,CZ - ALBUMS CLASSICAL - TOP 10,2015,45,4,"Dvořák, Suk, Janáček: Houslové koncerty",Josef Špaček,Josef Špaček,Supraphon
194560,CZ - ALBUMS CLASSICAL - TOP 10,2015,45,5,"Vivaldi, Bach, Telemann: Hobojové koncerty",Vilém Veverka,Vilém Veverka,Supraphon
194561,CZ - ALBUMS CLASSICAL - TOP 10,2015,45,6,Romantický klavír,Jiří Malásek,Jiří Malásek,Supraphon
194562,CZ - ALBUMS CLASSICAL - TOP 10,2015,45,7,Best Of Chopin,Různí,Různí,Supraphon
194563,CZ - ALBUMS CLASSICAL - TOP 10,2015,45,8,Antonín Dvořák - Symfonie 6-9,Čf/kubelík,Čf,Universal Music
194564,CZ - ALBUMS CLASSICAL - TOP 10,2015,45,9,Antonín Dvořák - Slovanské tance,Čf/neumann,Čf,Supraphon
194565,CZ - ALBUMS CLASSICAL - TOP 10,2015,45,10,Romantický klavír / To nejlepší 2,Jiří Malásek,Jiří Malásek,Supraphon
194566,CZ - ALBUMS CLASSICAL - TOP 10,2015,46,1,Antonín Dvořák - Symfonie 6-9,Čf/kubelík,Čf,Universal Music
194567,CZ - ALBUMS CLASSICAL - TOP 10,2015,46,2,Sonáty a partity pro sólové housle,Pavel Šporcl,Pavel Šporcl,Supraphon
194568,CZ - ALBUMS CLASSICAL - TOP 10,2015,46,3,Tříkrálový recitál (Praha 1987),Ivan Moravec,Ivan Moravec,Supraphon
194569,CZ - ALBUMS CLASSICAL - TOP 10,2015,46,4,Má vlast,Čf/kubelík,Čf,Supraphon
194570,CZ - ALBUMS CLASSICAL - TOP 10,2015,46,5,Rorate coeli / Advent a Vánoce v barokní Praze,Collegium Marianum/j.semerádová,Collegium Marianum,Supraphon
194571,CZ - ALBUMS CLASSICAL - TOP 10,2015,46,6,Hříšnice,Dagmar Pecková,Dagmar Pecková,Supraphon
194572,CZ - ALBUMS CLASSICAL - TOP 10,2015,46,7,Mozart - Best Of Mozart,Různí,Různí,Supraphon
194573,CZ - ALBUMS CLASSICAL - TOP 10,2015,46,8,Best Of Jonas Kaufmann,Různí,Různí,Universal Music
194574,CZ - ALBUMS CLASSICAL - TOP 10,2015,46,9,Smetana - Prodaná nevěsta   DVD,Čf/košler,Čf,Supraphon
194575,CZ - ALBUMS CLASSICAL - TOP 10,2015,46,10,"Dvořák-Novosvětská, Smetana - Vltava",Čf/neumann,Čf,Supraphon
194576,CZ - ALBUMS CLASSICAL - TOP 10,2015,47,1,Vánoční koledy,Pražští Madrigalisté & M.venhoda,Pražští Madrigalisté,Supraphon
194577,CZ - ALBUMS CLASSICAL - TOP 10,2015,47,2,Roman Holiday,André Rieu,André Rieu,Universal Music
194578,CZ - ALBUMS CLASSICAL - TOP 10,2015,47,3,Sonáty a partity pro sólové housle,Pavel Šporcl,Pavel Šporcl,Supraphon
