,hitparada,rok,mesic,pozice,album,interpret,interpret_hlavni,vydavatel
3,CZ - ALBUMS CLASSICAL - TOP 10,2018,6,4,Dvořák: Symfonie č. 9 e moll - Z Nového světa,Čf/neumann,Čf,Supraphon
4,CZ - ALBUMS CLASSICAL - TOP 10,2018,6,5,"Koncerty (Grieg, Ravel, Prokofjev)",Ivan Moravec,Ivan Moravec,Supraphon
5,CZ - ALBUMS CLASSICAL - TOP 10,2018,6,6,Dvořák: Moravské dvojzpěvy (komplet),Různí,Různí,Supraphon
6,CZ - ALBUMS CLASSICAL - TOP 10,2018,6,7,Score,2cellos,2cellos,Sony Music
7,CZ - ALBUMS CLASSICAL - TOP 10,2018,6,8,Má vlast,Čf/kubelík,Čf,Supraphon
8,CZ - ALBUMS CLASSICAL - TOP 10,2018,6,9,Smetana - Má vlast,Orchestr Nd/krombholc,Orchestr Nd,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2018,6,10,Historie psaná šelakem - Zlatý věk české operety 8,Různí,Různí,Supraphon
0,CZ - ALBUMS CLASSICAL - TOP 10,2018,7,1,Best of Czech Classics,Různí,Různí,Supraphon
1,CZ - ALBUMS CLASSICAL - TOP 10,2018,7,2,Prague Classics / Musical Souvenir from Prague,Různí,Různí,Supraphon
2,CZ - ALBUMS CLASSICAL - TOP 10,2018,7,3,Dvořák: Symfonie č. 9 e moll - Z Nového světa,Čf/neumann,Čf,Supraphon
3,CZ - ALBUMS CLASSICAL - TOP 10,2018,7,4,Score,2cellos,2cellos,Sony Music
4,CZ - ALBUMS CLASSICAL - TOP 10,2018,7,5,Smetana: Má vlast,Čf/bělohlávek,Čf,Supraphon
5,CZ - ALBUMS CLASSICAL - TOP 10,2018,7,6,Smetana - Má vlast,Orchestr Nd/krombholc,Orchestr Nd,Supraphon
6,CZ - ALBUMS CLASSICAL - TOP 10,2018,7,7,Adam Plachetka: Impossible Dream,Sočr/netopil,Sočr,Čro
7,CZ - ALBUMS CLASSICAL - TOP 10,2018,7,8,Meditace & relaxace s klasickou hudbou,Různí,Různí,Supraphon
8,CZ - ALBUMS CLASSICAL - TOP 10,2018,7,9,Beethoven: Klavírní sonáty,Jan Bartoš,Jan Bartoš,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2018,7,10,Czech Music Bestsellers,Různí,Různí,Supraphon
0,CZ - ALBUMS CLASSICAL - TOP 10,2018,8,1,Prague Classics / Musical Souvenir from Prague,Různí,Různí,Supraphon
1,CZ - ALBUMS CLASSICAL - TOP 10,2018,8,2,Smetana - Má vlast,Orchestr Nd/krombholc,Orchestr Nd,Supraphon
2,CZ - ALBUMS CLASSICAL - TOP 10,2018,8,3,Dvořák: Symfonie č. 9 e moll - Z Nového světa,Čf/neumann,Čf,Supraphon
3,CZ - ALBUMS CLASSICAL - TOP 10,2018,8,4,Meditace & relaxace s klasickou hudbou,Různí,Různí,Supraphon
4,CZ - ALBUMS CLASSICAL - TOP 10,2018,8,5,Piano Recital / Janáček - Mozart - Chopin,Miroslav Sekera,Miroslav Sekera,Radioservis
5,CZ - ALBUMS CLASSICAL - TOP 10,2018,8,6,Adam Plachetka: Impossible Dream,Sočr/netopil,Sočr,Čro
6,CZ - ALBUMS CLASSICAL - TOP 10,2018,8,7,Score,2cellos,2cellos,Sony Music
7,CZ - ALBUMS CLASSICAL - TOP 10,2018,8,8,Beethoven: Klavírní sonáty,Jan Bartoš,Jan Bartoš,Supraphon
8,CZ - ALBUMS CLASSICAL - TOP 10,2018,8,9,Čajkovskij: Best Of,Různí,Různí,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2018,8,10,Hej Romale,Čhavorenge & Ida Kelarová & Čf& M. Ivanovič,Čhavorenge,Supraphon
0,CZ - ALBUMS CLASSICAL - TOP 10,2018,9,1,Prague Classics / Musical Souvenir from Prague,Různí,Různí,Supraphon
1,CZ - ALBUMS CLASSICAL - TOP 10,2018,9,2,Má vlast - Bedřich Smetana,Pkf/jakub Hrůša,Pkf,Supraphon
2,CZ - ALBUMS CLASSICAL - TOP 10,2018,9,3,Smetana - Má vlast,Orchestr Nd/krombholc,Orchestr Nd,Supraphon
3,CZ - ALBUMS CLASSICAL - TOP 10,2018,9,4,Christmas On The Blue Violin,Pavel Šporcl,Pavel Šporcl,Universal Music
4,CZ - ALBUMS CLASSICAL - TOP 10,2018,9,5,Score,2cellos,2cellos,Sony Music
5,CZ - ALBUMS CLASSICAL - TOP 10,2018,9,6,"Symfonie č. 9 Novosvětská, Te Deum",Čf/neumann,Čf,Supraphon
6,CZ - ALBUMS CLASSICAL - TOP 10,2018,9,7,"Kalabis: Sonáty pro violoncello, klarinet, housle",Různí,Různí,Supraphon
7,CZ - ALBUMS CLASSICAL - TOP 10,2018,9,8,Smetana: Má vlast,Čf/bělohlávek,Čf,Supraphon
8,CZ - ALBUMS CLASSICAL - TOP 10,2018,9,9,Hej Romale,Čhavorenge & Ida Kelarová & Čf& M. Ivanovič,Čhavorenge,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2018,9,10,Meditace & relaxace s klasickou hudbou,Různí,Různí,Supraphon
0,CZ - ALBUMS CLASSICAL - TOP 10,2019,1,1,Douce Dame Jolie,I Flautisti - The London Recorder Quartet,I Flautisti - The London Recorder Quartet,Supraphon
1,CZ - ALBUMS CLASSICAL - TOP 10,2019,1,2,Bach - Cello suites 1-6,Bárta Jiří/j.s.bach,Bárta Jiří,Supraphon
2,CZ - ALBUMS CLASSICAL - TOP 10,2019,1,3,Beethoven: Klavírní sonáty,Jan Bartoš,Jan Bartoš,Supraphon
3,CZ - ALBUMS CLASSICAL - TOP 10,2019,1,4,Let There Be Cello,2cellos,2cellos,Sony Music
4,CZ - ALBUMS CLASSICAL - TOP 10,2019,1,5,Jan Bartoš - Mozart: klavírní koncerty,Čf/bělohlávek,Čf,Supraphon
5,CZ - ALBUMS CLASSICAL - TOP 10,2019,1,6,Nativitas - Vánoční písně staré Evropy,Dagmar Pecková,Dagmar Pecková,Supraphon
6,CZ - ALBUMS CLASSICAL - TOP 10,2019,1,7,Christmas On The Blue Violin,Pavel Šporcl,Pavel Šporcl,Universal Music
7,CZ - ALBUMS CLASSICAL - TOP 10,2019,1,8,Dvořák: Symfonie č. 9 e moll - Z Nového světa,Čf/neumann,Čf,Supraphon
8,CZ - ALBUMS CLASSICAL - TOP 10,2019,1,9,"Smetana, B. Vltava / Dvořák, A. Symfonie č. 9 e mo",Čf/ančerl,Čf,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2019,1,10,Smetana - Má vlast,Orchestr Nd/krombholc,Orchestr Nd,Supraphon
0,CZ - ALBUMS CLASSICAL - TOP 10,2019,10,1,Bach: Christmas Oratorio - Weihnachtsoratorium,Různí,Různí,Universal Music
1,CZ - ALBUMS CLASSICAL - TOP 10,2019,10,2,"Šostakovič: Smyčcové kvartety č. 2, 7, 8",Pavel Haas Quartet,Pavel Haas Quartet,Supraphon
2,CZ - ALBUMS CLASSICAL - TOP 10,2019,10,3,Rejcha: Dechové kvintety,Belfiato Quintet,Belfiato Quintet,Supraphon
3,CZ - ALBUMS CLASSICAL - TOP 10,2019,10,4,Klasika pro lepší spánek,Různí,Různí,Supraphon
4,CZ - ALBUMS CLASSICAL - TOP 10,2019,10,5,Klavírní koncerty,I.kahánek/bamberger Symphoniker/j.průša,I.kahánek,Supraphon
5,CZ - ALBUMS CLASSICAL - TOP 10,2019,10,6,The Magical Gallery,Dagmar Pecková / Darek Král,Dagmar Pecková,Supraphon
6,CZ - ALBUMS CLASSICAL - TOP 10,2019,10,7,My Music - My World - The Very Best Of,André Rieu,André Rieu,Universal Music
7,CZ - ALBUMS CLASSICAL - TOP 10,2019,10,8,Meditace & relaxace s klasickou hudbou,Různí,Různí,Supraphon
8,CZ - ALBUMS CLASSICAL - TOP 10,2019,10,9,"Hurník,Prokofjev: Příběhy jedné kapely, Péťa a vlk",Různí,Různí,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2019,10,10,Dvořák: Symfonie č. 9 e moll - Z Nového světa,Čf/neumann,Čf,Supraphon
0,CZ - ALBUMS CLASSICAL - TOP 10,2019,11,1,Francouzské árie,Petr Nekoranec / Čf/ Christopher Franklin,Petr Nekoranec,Supraphon
1,CZ - ALBUMS CLASSICAL - TOP 10,2019,11,2,Happy Days,André Rieu,André Rieu,Universal Music
2,CZ - ALBUMS CLASSICAL - TOP 10,2019,11,3,Si Forever (The Diamond Edition),Andrea Bocelli,Andrea Bocelli,Universal Music
3,CZ - ALBUMS CLASSICAL - TOP 10,2019,11,4,"Šostakovič: Smyčcové kvartety č. 2, 7, 8",Pavel Haas Quartet,Pavel Haas Quartet,Supraphon
4,CZ - ALBUMS CLASSICAL - TOP 10,2019,11,5,My Music - My World - The Very Best Of,André Rieu,André Rieu,Universal Music
5,CZ - ALBUMS CLASSICAL - TOP 10,2019,11,6,"Milhaud, Britten, Martinů",Různí,Různí,Panther
6,CZ - ALBUMS CLASSICAL - TOP 10,2019,11,7,"Richter: Super flumina Babylonis, Miserere",Různí,Různí,Supraphon
7,CZ - ALBUMS CLASSICAL - TOP 10,2019,11,8,Meditace & relaxace s klasickou hudbou,Různí,Různí,Supraphon
8,CZ - ALBUMS CLASSICAL - TOP 10,2019,11,9,Nativitas - Vánoční písně staré Evropy,Dagmar Pecková,Dagmar Pecková,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2019,11,10,"Richter: Super flumina Babylonis, Miserere",Czech Ensemble Baroque Choir/r. Válek,Czech Ensemble Baroque Choir,Supraphon
0,CZ - ALBUMS CLASSICAL - TOP 10,2019,12,1,Happy Days,André Rieu,André Rieu,Universal Music
1,CZ - ALBUMS CLASSICAL - TOP 10,2019,12,2,Si Forever (The Diamond Edition),Andrea Bocelli,Andrea Bocelli,Universal Music
2,CZ - ALBUMS CLASSICAL - TOP 10,2019,12,3,Francouzské árie,Petr Nekoranec / Čf/ Christopher Franklin,Petr Nekoranec,Supraphon
3,CZ - ALBUMS CLASSICAL - TOP 10,2019,12,4,Christmas On The Blue Violin,Pavel Šporcl,Pavel Šporcl,Universal Music
4,CZ - ALBUMS CLASSICAL - TOP 10,2019,12,5,Nativitas - Vánoční písně staré Evropy,Dagmar Pecková,Dagmar Pecková,Supraphon
5,CZ - ALBUMS CLASSICAL - TOP 10,2019,12,6,My Music - My World - The Very Best Of,André Rieu,André Rieu,Universal Music
6,CZ - ALBUMS CLASSICAL - TOP 10,2019,12,7,Il giardino dei sospiri,Magdalena Kožená,Magdalena Kožená,Pentatone
7,CZ - ALBUMS CLASSICAL - TOP 10,2019,12,8,České zpěvy vánoční,Musica Bohemica,Musica Bohemica,Supraphon
8,CZ - ALBUMS CLASSICAL - TOP 10,2019,12,9,The Magical Gallery,Dagmar Pecková / Darek Král,Dagmar Pecková,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2019,12,10,"Mozart,Beethoven&Brahms:Koncerty pro housle a orch",David Oistrach,David Oistrach,Supraphon
0,CZ - ALBUMS CLASSICAL - TOP 10,2019,2,1,"Bach, Messiaen, Pärt, Katt: Organ Works",Katt,Katt,Supraphon
1,CZ - ALBUMS CLASSICAL - TOP 10,2019,2,2,Martinů: Písně,Různí,Různí,Supraphon
2,CZ - ALBUMS CLASSICAL - TOP 10,2019,2,3,Má vlast,Čf/kubelík,Čf,Supraphon
3,CZ - ALBUMS CLASSICAL - TOP 10,2019,2,4,Bach - Cello suites 1-6,Bárta Jiří/j.s.bach,Bárta Jiří,Supraphon
4,CZ - ALBUMS CLASSICAL - TOP 10,2019,2,5,Best of Classics,Různí,Různí,Supraphon
5,CZ - ALBUMS CLASSICAL - TOP 10,2019,2,6,Adam Plachetka: Impossible Dream,Sočr/netopil,Sočr,Čro
6,CZ - ALBUMS CLASSICAL - TOP 10,2019,2,7,Let There Be Cello,2cellos,2cellos,Sony Music
7,CZ - ALBUMS CLASSICAL - TOP 10,2019,2,8,Nativitas - Vánoční písně staré Evropy,Dagmar Pecková,Dagmar Pecková,Supraphon
8,CZ - ALBUMS CLASSICAL - TOP 10,2019,2,9,Dvořák: Kvintety,Pavel Haas Quartet,Pavel Haas Quartet,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2019,2,10,Best Of Chopin,Různí,Různí,Supraphon
0,CZ - ALBUMS CLASSICAL - TOP 10,2019,3,1,Má vlast,Čf/kubelík,Čf,Supraphon
1,CZ - ALBUMS CLASSICAL - TOP 10,2019,3,2,Dvořák: Symfonie č. 9 e moll - Z Nového světa,Čf/neumann,Čf,Supraphon
2,CZ - ALBUMS CLASSICAL - TOP 10,2019,3,3,Adam Plachetka: Impossible Dream,Sočr/netopil,Sočr,Čro
3,CZ - ALBUMS CLASSICAL - TOP 10,2019,3,4,Smetana: Má vlast,Čf/bělohlávek,Čf,Supraphon
4,CZ - ALBUMS CLASSICAL - TOP 10,2019,3,5,Let There Be Cello,2cellos,2cellos,Sony Music
5,CZ - ALBUMS CLASSICAL - TOP 10,2019,3,6,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
